"","julian","mean","max","min","elevation","micro"
"1",1,1.37472423312883,12,-4.638,"low","air"
"2",2,2.53930208333333,10.76,-4.434,"low","air"
"3",3,3.84503365384615,11.2,-3.161,"low","air"
"4",4,4.53542227564103,15.11,-4.24,"low","air"
"5",5,3.72923246492986,12.52,-3.971,"low","air"
"6",6,3.27955435218612,14.69,-3.969,"low","air"
"7",7,4.15506690705128,16.69,-3.415,"low","air"
"8",8,5.52744948875256,14.2,-3.151,"low","air"
"9",9,4.48422716346154,12.53,-4.253,"low","air"
"10",10,4.17796153846154,12.05,-4.826,"low","air"
"11",11,4.88186738782051,15.2,-3.853,"low","air"
"12",12,4.99015144230769,14.46,-3.812,"low","air"
"13",13,3.70615825320513,12.03,-5.683,"low","air"
"14",14,3.26837099358974,13.76,-5.308,"low","air"
"15",15,3.6799827724359,14.32,-4.448,"low","air"
"16",16,4.97410576923077,15.78,-6.507,"low","air"
"17",17,5.57852363782051,14.79,-6.911,"low","air"
"18",18,5.68025080128205,13.55,-3.731,"low","air"
"19",19,4.91889663461538,14.01,-3.497,"low","air"
"20",20,3.85016065705128,12.81,-3.829,"low","air"
"21",21,4.23016225961538,15.2,-4.067,"low","air"
"22",22,4.86188060897436,14.18,-3.246,"low","air"
"23",23,5.38416666666667,17.69,-2.649,"low","air"
"24",24,6.44379326923077,20.83,-0.42,"low","air"
"25",25,6.3726109775641,18.4,-0.749,"low","air"
"26",26,5.43112059294872,15.67,-2.133,"low","air"
"27",27,4.68037459935897,16.12,-3.767,"low","air"
"28",28,5.27293790064103,13.71,-2.744,"low","air"
"29",29,5.73252684294872,14.2,-1.654,"low","air"
"30",30,4.77696834935897,15.36,-2.622,"low","air"
"31",31,3.74395232371795,15.12,-2.331,"low","air"
"32",32,4.35447155448718,15.88,-3.964,"low","air"
"33",33,5.72365184294872,15.34,-3.063,"low","air"
"34",34,6.06700440705128,19.45,-2.795,"low","air"
"35",35,5.87031730769231,18.08,-3.771,"low","air"
"36",36,6.548203125,19.76,-4.351,"low","air"
"37",37,7.51470753205128,18.22,-0.593,"low","air"
"38",38,7.44073036858974,17.86,0.465,"low","air"
"39",39,7.27207732371795,18.38,-2.876,"low","air"
"40",40,6.64134655448718,21.96,-3.925,"low","air"
"41",41,5.70800761217949,18.11,-3.866,"low","air"
"42",42,5.34134375,19.67,-3.397,"low","air"
"43",43,5.71109174679487,17.33,-2.401,"low","air"
"44",44,6.36473946206343,17.69,-3.67,"low","air"
"45",45,7.28652323717949,21.29,-3.674,"low","air"
"46",46,7.10099518845229,21.5,-3.965,"low","air"
"47",47,5.68404006410256,20.72,-3.015,"low","air"
"48",48,5.84768136272545,19.09,-2.69,"low","air"
"49",49,5.69961778846154,18.91,-2.089,"low","air"
"50",50,4.65291947115385,18.68,-4.047,"low","air"
"51",51,4.73771594551282,19.51,-5.591,"low","air"
"52",52,5.61412580128205,19.68,-3.005,"low","air"
"53",53,5.25270913461538,18.49,-3.675,"low","air"
"54",54,4.68603365384615,19.21,-4.518,"low","air"
"55",55,4.27624078525641,20.7,-4.483,"low","air"
"56",56,4.34859695512821,20,-3.748,"low","air"
"57",57,4.49525400641026,17.32,-5.032,"low","air"
"58",58,4.64694030448718,17.62,-4.39,"low","air"
"59",59,5.62401923076923,18.63,-3.164,"low","air"
"60",60,6.25395128824477,19.87,-1.319,"low","air"
"61",61,6.47155488782051,17.9,-0.739,"low","air"
"62",62,6.04247516025641,16.61,-1.705,"low","air"
"63",63,6.42288782051282,20.43,-2.034,"low","air"
"64",64,6.11198998397436,21.12,-2.471,"low","air"
"65",65,6.48959334935897,21.48,-2.924,"low","air"
"66",66,5.92970072115385,24.18,-2.038,"low","air"
"67",67,6.80968349358974,23.61,-4.033,"low","air"
"68",68,7.442859375,25,-3.63,"low","air"
"69",69,7.75252724358974,21.32,-4.651,"low","air"
"70",70,7.83934935897436,21.43,-4.037,"low","air"
"71",71,8.31125240384615,22.35,-2.881,"low","air"
"72",72,8.31892948717949,24.18,-2.405,"low","air"
"73",73,8.88828725961539,23.35,-1.477,"low","air"
"74",74,8.28787540064103,23.8,-1.056,"low","air"
"75",75,7.90085737179487,21.63,-0.554,"low","air"
"76",76,7.4837672275641,22.14,-0.495,"low","air"
"77",77,7.49074599358974,24.73,-0.403,"low","air"
"78",78,7.53008533653846,25.32,-1.702,"low","air"
"79",79,8.02183173076923,19.83,-1.875,"low","air"
"80",80,8.39124799679487,20.33,-1.037,"low","air"
"81",81,7.12801842948718,20.84,-2.961,"low","air"
"82",82,6.14863621794872,22.06,-2.882,"low","air"
"83",83,6.56036899038462,22.1,-2.337,"low","air"
"84",84,6.40062765531062,20.99,-1.926,"low","air"
"85",85,7.61825520833333,26.2,-1.064,"low","air"
"86",86,8.16575,23.68,0.193,"low","air"
"87",87,9.46848157051282,25.88,1.514,"low","air"
"88",88,9.58642628205128,27.56,0.807,"low","air"
"89",89,9.14231330128205,26.95,-2.132,"low","air"
"90",90,8.99665825320513,26.83,-0.448,"low","air"
"91",91,8.78137860576923,26.47,-1.58,"low","air"
"92",92,8.5307467948718,24.77,-0.866,"low","air"
"93",93,8.51474719551282,21.6,-1.167,"low","air"
"94",94,8.78207932692308,24.15,-3.221,"low","air"
"95",95,7.9815641025641,20.47,-2.747,"low","air"
"96",96,8.73228245192308,27.44,-1.909,"low","air"
"97",97,8.32534254807692,31.16,-2.374,"low","air"
"98",98,7.82834094551282,25.13,-3.151,"low","air"
"99",99,8.77263100961538,25.39,-2.208,"low","air"
"100",100,9.22373958333333,25.81,-0.773,"low","air"
"101",101,8.75672596153846,25.56,-1.654,"low","air"
"102",102,8.71403685897436,23.42,0.577,"low","air"
"103",103,7.65501161858974,24.41,-0.04,"low","air"
"104",104,7.15397836538462,26.64,-0.566,"low","air"
"105",105,7.67421955128205,22.72,-1.517,"low","air"
"106",106,8.94279086538462,24.77,-2.542,"low","air"
"107",107,9.9106875,26.38,-1.941,"low","air"
"108",108,11.0710220352564,27.07,0.644,"low","air"
"109",109,10.8758886217949,28.97,-1.363,"low","air"
"110",110,11.6326931089744,30.81,1.024,"low","air"
"111",111,11.8099419070513,32.18,2.352,"low","air"
"112",112,11.7002103365385,29.02,1.661,"low","air"
"113",113,11.2143862179487,28.29,0.319,"low","air"
"114",114,10.4845616987179,28.1,-0.629,"low","air"
"115",115,9.5757516025641,25.69,-0.902,"low","air"
"116",116,9.48777203525641,25.05,-1.039,"low","air"
"117",117,9.60009735576923,28.26,0.328,"low","air"
"118",118,9.36061458333333,27.94,-0.56,"low","air"
"119",119,11.0693253205128,29.28,-2.809,"low","air"
"120",120,12.3410925480769,30.97,-1.563,"low","air"
"121",121,13.5640112179487,30.75,0.319,"low","air"
"122",122,13.0906991185897,29.65,0.811,"low","air"
"123",123,12.6222724358974,31.37,0.539,"low","air"
"124",124,13.3012455929487,30.21,1.406,"low","air"
"125",125,11.6590300480769,26.33,0.261,"low","air"
"126",126,10.8433826121795,21.47,-1.092,"low","air"
"127",127,11.8089875801282,26.05,-0.865,"low","air"
"128",128,12.3234899839744,28.55,0.092,"low","air"
"129",129,12.9240661322645,30.1,0.325,"low","air"
"130",130,12.3610372596154,27.92,1.296,"low","air"
"131",131,12.7778930288462,30.01,0.25,"low","air"
"132",132,12.7334166666667,29.15,2.105,"low","air"
"133",133,12.2896891025641,31.08,1.61,"low","air"
"134",134,11.8850989583333,30.22,0.827,"low","air"
"135",135,11.3084755608974,27.69,0.153,"low","air"
"136",136,11.4111334134615,33.62,2.864,"low","air"
"137",137,12.2242047275641,33.68,2.931,"low","air"
"138",138,13.1535833333333,29.72,2.603,"low","air"
"139",139,13.2862856570513,31.73,2.132,"low","air"
"140",140,13.5538990384615,30.44,1.969,"low","air"
"141",141,12.9514807692308,29.27,1.455,"low","air"
"142",142,12.9261153846154,31.89,-0.566,"low","air"
"143",143,12.777544105854,31.69,-0.272,"low","air"
"144",144,12.6610212339744,28.66,-0.054,"low","air"
"145",145,11.7859022435897,27.29,1.305,"low","air"
"146",146,12.2164366987179,28.42,4.887,"low","air"
"147",147,12.7703914262821,31.5,3.55,"low","air"
"148",148,13.5109547275641,32.22,2.261,"low","air"
"149",149,14.2576782852564,28.17,2.022,"low","air"
"150",150,13.7138153044872,28.5,2.427,"low","air"
"151",151,14.1343669871795,30.38,2.971,"low","air"
"152",152,15.2575341914722,33.96,1.878,"low","air"
"153",153,16.3115845352564,33.6,4.557,"low","air"
"154",154,15.6732003205128,32.9,4.608,"low","air"
"155",155,15.8542620192308,34.1,5.527,"low","air"
"156",156,15.9659575320513,34.08,4.057,"low","air"
"157",157,16.1209611378205,34.06,3.605,"low","air"
"158",158,17.0346001602564,36.75,3.045,"low","air"
"159",159,17.6351594551282,39.32,3.824,"low","air"
"160",160,15.0439875801282,34.88,3.763,"low","air"
"161",161,14.1250901442308,34.05,1.37,"low","air"
"162",162,15.12325,32.54,2.122,"low","air"
"163",163,16.2038689903846,38.73,3.793,"low","air"
"164",164,16.4454038461538,34.84,4.203,"low","air"
"165",165,16.8453313301282,30.7,5.155,"low","air"
"166",166,15.6944447115385,29.9,4.483,"low","air"
"167",167,15.4382568108974,30.69,3.426,"low","air"
"168",168,16.5312540064103,37.46,3.765,"low","air"
"169",169,17.1521866987179,38.52,5.148,"low","air"
"170",170,16.7779635416667,36.48,3.44,"low","air"
"171",171,17.2486125801282,33.19,3.12,"low","air"
"172",172,18.1170969551282,37.94,3.932,"low","air"
"173",173,18.5750500801282,40.79,5.036,"low","air"
"174",174,17.6578834134615,35.38,6.411,"low","air"
"175",175,16.6832107371795,32.8,5.717,"low","air"
"176",176,16.5853709935897,36.37,3.957,"low","air"
"177",177,16.933172275641,35.71,-5.468,"low","air"
"178",178,17.8714515224359,37.24,5.859,"low","air"
"179",179,17.7634106570513,36.21,4.282,"low","air"
"180",180,18.202843349359,34.98,4.659,"low","air"
"181",181,19.9802471955128,38,5,"low","air"
"182",182,20.4575540865385,37.41,4.487,"low","air"
"183",183,21.3536314102564,38.76,5.626,"low","air"
"184",184,20.7265552884615,38.55,6.571,"low","air"
"185",185,19.8055548878205,34.37,6.556,"low","air"
"186",186,18.631483974359,34.22,5.47,"low","air"
"187",187,18.6123177083333,35.54,6.424,"low","air"
"188",188,19.4359134615385,36.35,4.293,"low","air"
"189",189,19.4517540064103,36.33,5.318,"low","air"
"190",190,18.4394575320513,33.85,5.325,"low","air"
"191",191,17.5657463942308,32.24,6.011,"low","air"
"192",192,17.6813080929487,34.97,5.968,"low","air"
"193",193,18.6182700320513,36.06,5.773,"low","air"
"194",194,18.9188886217949,34.82,6.057,"low","air"
"195",195,19.5258000801282,36.25,6.058,"low","air"
"196",196,19.9439867788462,35.32,6.749,"low","air"
"197",197,19.4690528846154,36.45,6.183,"low","air"
