"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"1",1,NA,NA,NA,NA,NA,NA,1.37472423312883,12,-4.638,5.0300110654442,16.5,-4.589
"2",2,NA,NA,NA,NA,NA,NA,2.53930208333333,10.76,-4.434,5.29112540064103,16.48,-4.642
"3",3,NA,NA,NA,NA,NA,NA,3.84503365384615,11.2,-3.161,6.17606530448718,16.12,-3.959
"4",4,NA,NA,NA,NA,NA,NA,4.53542227564103,15.11,-4.24,6.14113261217949,16.23,-3.263
"5",5,NA,NA,NA,NA,NA,NA,3.72923246492986,12.52,-3.971,5.56165104166667,17.02,-5.308
"6",6,NA,NA,NA,NA,NA,NA,3.27955435218612,14.69,-3.969,5.79622836538462,18.26,-3.571
"7",7,NA,NA,NA,NA,NA,NA,4.15506690705128,16.69,-3.415,6.86261017628205,18.67,-1.586
"8",8,NA,NA,NA,NA,NA,NA,5.52744948875256,14.2,-3.151,6.96074288006418,17.81,-3.026
"9",9,NA,NA,NA,NA,NA,NA,4.48422716346154,12.53,-4.253,4.77200240384615,17.86,-3.999
"10",10,NA,NA,NA,NA,NA,NA,4.17796153846154,12.05,-4.826,5.0516530448718,18.73,-5.279
"11",11,NA,NA,NA,NA,NA,NA,4.88186738782051,15.2,-3.853,4.37292988782051,18.13,-4.981
"12",12,NA,NA,NA,NA,NA,NA,4.99015144230769,14.46,-3.812,4.70203725961538,18.13,-6.476
"13",13,NA,NA,NA,NA,NA,NA,3.70615825320513,12.03,-5.683,8.14252684294872,23.17,-1.717
"14",14,NA,NA,NA,NA,NA,NA,3.26837099358974,13.76,-5.308,8.68487139423077,22.22,-1.021
"15",15,NA,NA,NA,NA,NA,NA,3.6799827724359,14.32,-4.448,8.7317516025641,21.47,-6.326
"16",16,NA,NA,NA,NA,NA,NA,4.97410576923077,15.78,-6.507,9.11583934294872,21.29,-6.414
"17",17,NA,NA,NA,NA,NA,NA,5.57852363782051,14.79,-6.911,8.58521274038462,19.8,-5.867
"18",18,NA,NA,NA,NA,NA,NA,5.68025080128205,13.55,-3.731,7.06845713141026,18.43,-2.394
"19",19,NA,NA,NA,NA,NA,NA,4.91889663461538,14.01,-3.497,6.00085737179487,17.37,-2.321
"20",20,NA,NA,NA,NA,NA,NA,3.85016065705128,12.81,-3.829,7.29664302884615,17.53,-2.459
"21",21,NA,NA,NA,NA,NA,NA,4.23016225961538,15.2,-4.067,7.09705488782051,17.93,-2.505
"22",22,NA,NA,NA,NA,NA,NA,4.86188060897436,14.18,-3.246,6.44135817307692,18.43,-2.583
"23",23,NA,NA,NA,NA,NA,NA,5.38416666666667,17.69,-2.649,5.94904006410256,17.15,-2.644
"24",24,NA,NA,NA,NA,NA,NA,6.44379326923077,20.83,-0.42,6.32242748397436,21.4,-2.769
"25",25,NA,NA,NA,NA,NA,NA,6.3726109775641,18.4,-0.749,7.29629487179487,21.2,-2.662
"26",26,NA,NA,NA,NA,NA,NA,5.43112059294872,15.67,-2.133,6.62967908653846,17.78,-4.232
"27",27,NA,NA,NA,NA,NA,NA,4.68037459935897,16.12,-3.767,6.80098036858974,15.52,-3.451
"28",28,NA,NA,NA,NA,NA,NA,5.27293790064103,13.71,-2.744,8.6892063301282,19.02,-2.529
"29",29,NA,NA,NA,NA,NA,NA,5.73252684294872,14.2,-1.654,8.03279206730769,18.05,-1.602
"30",30,NA,NA,NA,NA,NA,NA,4.77696834935897,15.36,-2.622,7.27959294871795,17.34,-1.741
"31",31,NA,NA,NA,NA,NA,NA,3.74395232371795,15.12,-2.331,7.47774038461538,19.79,-3.615
"32",32,NA,NA,NA,NA,NA,NA,4.35447155448718,15.88,-3.964,7.0065452724359,16.88,-3.784
"33",33,NA,NA,NA,NA,NA,NA,5.72365184294872,15.34,-3.063,7.38253685897436,19.31,-2.779
"34",34,NA,NA,NA,NA,NA,NA,6.06700440705128,19.45,-2.795,7.41235096153846,18.21,-2.919
"35",35,NA,NA,NA,NA,NA,NA,5.87031730769231,18.08,-3.771,7.86311858974359,20.31,-2.975
"36",36,NA,NA,NA,NA,NA,NA,6.548203125,19.76,-4.351,6.43920873397436,15.52,-1.89
"37",37,NA,NA,NA,NA,NA,NA,7.51470753205128,18.22,-0.593,6.75960897435897,17.21,-0.906
"38",38,NA,NA,NA,NA,NA,NA,7.44073036858974,17.86,0.465,6.66905208333333,19.88,-3.793
