"","year","julian","mean","max","min","elevation","micro"
"1",2009,1,NA,NA,NA,"low","soil"
"2",2009,2,NA,NA,NA,"low","soil"
"3",2009,3,NA,NA,NA,"low","soil"
"4",2009,4,NA,NA,NA,"low","soil"
"5",2009,5,NA,NA,NA,"low","soil"
"6",2009,6,NA,NA,NA,"low","soil"
"7",2009,7,NA,NA,NA,"low","soil"
"8",2009,8,NA,NA,NA,"low","soil"
"9",2009,9,NA,NA,NA,"low","soil"
"10",2009,10,NA,NA,NA,"low","soil"
"11",2009,11,NA,NA,NA,"low","soil"
"12",2009,12,NA,NA,NA,"low","soil"
"13",2009,13,NA,NA,NA,"low","soil"
"14",2009,14,NA,NA,NA,"low","soil"
"15",2009,15,NA,NA,NA,"low","soil"
"16",2009,16,NA,NA,NA,"low","soil"
"17",2009,17,NA,NA,NA,"low","soil"
"18",2009,18,NA,NA,NA,"low","soil"
"19",2009,19,NA,NA,NA,"low","soil"
"20",2009,20,NA,NA,NA,"low","soil"
"21",2009,21,NA,NA,NA,"low","soil"
"22",2009,22,NA,NA,NA,"low","soil"
"23",2009,23,NA,NA,NA,"low","soil"
"24",2009,24,NA,NA,NA,"low","soil"
"25",2009,25,NA,NA,NA,"low","soil"
"26",2009,26,NA,NA,NA,"low","soil"
"27",2009,27,NA,NA,NA,"low","soil"
"28",2009,28,NA,NA,NA,"low","soil"
"29",2009,29,NA,NA,NA,"low","soil"
"30",2009,30,NA,NA,NA,"low","soil"
"31",2009,31,NA,NA,NA,"low","soil"
"32",2009,32,NA,NA,NA,"low","soil"
"33",2009,33,NA,NA,NA,"low","soil"
"34",2009,34,NA,NA,NA,"low","soil"
"35",2009,35,NA,NA,NA,"low","soil"
"36",2009,36,NA,NA,NA,"low","soil"
"37",2009,37,NA,NA,NA,"low","soil"
"38",2009,38,NA,NA,NA,"low","soil"
"39",2009,39,NA,NA,NA,"low","soil"
"40",2009,40,NA,NA,NA,"low","soil"
"41",2009,41,NA,NA,NA,"low","soil"
"42",2009,42,NA,NA,NA,"low","soil"
"43",2009,43,NA,NA,NA,"low","soil"
"44",2009,44,NA,NA,NA,"low","soil"
"45",2009,45,NA,NA,NA,"low","soil"
"46",2009,46,NA,NA,NA,"low","soil"
"47",2009,47,NA,NA,NA,"low","soil"
"48",2009,48,NA,NA,NA,"low","soil"
"49",2009,49,NA,NA,NA,"low","soil"
"50",2009,50,NA,NA,NA,"low","soil"
"51",2009,51,NA,NA,NA,"low","soil"
"52",2009,52,NA,NA,NA,"low","soil"
"53",2009,53,NA,NA,NA,"low","soil"
"54",2009,54,NA,NA,NA,"low","soil"
"55",2009,55,NA,NA,NA,"low","soil"
"56",2009,56,NA,NA,NA,"low","soil"
"57",2009,57,NA,NA,NA,"low","soil"
"58",2009,58,NA,NA,NA,"low","soil"
"59",2009,59,NA,NA,NA,"low","soil"
"60",2009,60,NA,NA,NA,"low","soil"
"61",2009,61,NA,NA,NA,"low","soil"
"62",2009,62,NA,NA,NA,"low","soil"
"63",2009,63,NA,NA,NA,"low","soil"
"64",2009,64,NA,NA,NA,"low","soil"
"65",2009,65,NA,NA,NA,"low","soil"
"66",2009,66,NA,NA,NA,"low","soil"
"67",2009,67,NA,NA,NA,"low","soil"
"68",2009,68,NA,NA,NA,"low","soil"
"69",2009,69,NA,NA,NA,"low","soil"
"70",2009,70,NA,NA,NA,"low","soil"
"71",2009,71,NA,NA,NA,"low","soil"
"72",2009,72,NA,NA,NA,"low","soil"
"73",2009,73,NA,NA,NA,"low","soil"
"74",2009,74,NA,NA,NA,"low","soil"
"75",2009,75,NA,NA,NA,"low","soil"
"76",2009,76,NA,NA,NA,"low","soil"
