year,julian,low_canopy_min,low_canopy_max,high_canopy_min,high_canopy_max
2011,78,22.5,30,19,23
2011,79,23,32,18.5,24.5
2011,80,22,30.5,18.5,23.5
2011,81,22,27,18,22
2011,82,22,31,18.5,21
2011,83,23.5,29.5,19.5,23.5
2011,84,23,31,19,23.5
2011,85,22.5,26,18.5,20.5
2011,86,22.5,29,18.5,20
2011,87,22,30.5,18.5,20.5
2011,88,23.5,29.5,16.5,22
2011,89,23.5,29.5,15.5,24
2011,90,23.5,29,15,24.5
2011,91,23,26,15.5,26
2011,92,22.5,26,15.5,23.5
2011,93,22.5,28,16.5,20
2011,94,21,25,16,19.5
2011,95,21,24,16.5,24
2011,96,21.5,25.5,16.5,24.5
2011,97,21.5,24.5,16.5,24.5
2011,98,21.5,27.5,15,23
2011,99,21,27.5,16,22.5
2011,100,20.5,28,NA,NA
2011,101,20,29,NA,NA
2011,102,19.5,29.5,NA,NA
2011,103,19,29.5,NA,NA
2011,104,17.5,28.5,NA,NA
2011,105,17.5,29.5,NA,NA
2011,106,17,29,NA,NA
2011,107,18.5,28.5,NA,NA
2011,108,19.5,27,NA,NA
2011,109,21,26.5,NA,NA
2011,110,19.5,28,NA,NA
2011,111,19,27.5,NA,NA
2011,112,19,30,NA,NA
2011,113,17.5,30.5,NA,NA
2011,114,20.5,29,NA,NA
2011,115,21,28,NA,NA
2011,116,19.5,27,NA,NA
2011,117,20.5,28.5,14,22.5
2011,118,18.5,26.5,14.5,22.5
2011,119,18.5,28.5,14,20.5
2011,120,18,28,15,21.5
2011,77,NA,NA,19.5,20.5
2011,121,NA,NA,15,23
2011,122,NA,NA,16,23
2011,123,NA,NA,15.5,20
2011,124,NA,NA,13.5,19.5
2011,125,NA,NA,12.5,22
2011,126,NA,NA,15,19.5
2011,127,NA,NA,15.5,24.5
2011,128,NA,NA,13.5,21
2011,129,NA,NA,12.5,20
2011,130,NA,NA,12.5,20
2011,131,NA,NA,10.5,19
2011,132,NA,NA,11,19
2011,133,NA,NA,12,18.5
2011,134,NA,NA,12.5,16
2011,135,NA,NA,14,15
2011,136,NA,NA,13,15.5
2011,137,NA,NA,14,16.5
2011,138,NA,NA,14.5,17
2011,139,NA,NA,15,17.5
2011,140,NA,NA,16,19
2011,141,NA,NA,16,21.5
