"","julian","mean","max","min","elevation","micro"
"1",1,0.465373125,2.6579,-0.6895,"low","soil"
"2",2,0.273575260416667,1.4144,-0.9409,"low","soil"
"3",3,0.322531016507385,3.1634,-1.3346,"low","soil"
"4",4,0.228905555555556,1.9281,-1.2177,"low","soil"
"5",5,0.352063541666667,3.2712,-1.3127,"low","soil"
"6",6,0.454323350694444,3.6821,-1.9166,"low","soil"
"7",7,0.528418245004344,3.3988,-0.9702,"low","soil"
"8",8,0.501502690972222,2.4424,-0.393,"low","soil"
"9",9,0.494437326388889,1.7191,-0.6954,"low","soil"
"10",10,0.61216090356212,3.2203,-0.1732,"low","soil"
"11",11,0.525544184027778,2.5785,-1.504,"low","soil"
"12",12,0.283380121527778,2.2503,-3.486,"low","soil"
"13",13,0.1467484375,2.8754,-4.0397,"low","soil"
"14",14,0.0641258680555556,1.4721,-4.1045,"low","soil"
"15",15,-0.104846267361111,2.0849,-5.3475,"low","soil"
"16",16,0.0866072916666667,1.4078,-3.2274,"low","soil"
"17",17,0.556239409722222,5.5534,-2.0893,"low","soil"
"18",18,0.756462065972222,4.2621,-1.6535,"low","soil"
"19",19,1.00137864583333,5.2942,-0.4536,"low","soil"
"20",20,1.29274644097222,4.9436,-0.3271,"low","soil"
"21",21,0.989809635416667,3.791,-0.8232,"low","soil"
"22",22,0.87120625,3.557,-0.2234,"low","soil"
"23",23,0.726142100694444,2.6213,-0.1202,"low","soil"
"24",24,0.731267708333333,3.4253,-0.1068,"low","soil"
"25",25,0.88968203125,5.1242,-0.3975,"low","soil"
"26",26,1.29354079861111,6.9689,-0.2204,"low","soil"
"27",27,1.55798984375,7.8147,-0.7695,"low","soil"
"28",28,1.56105815972222,6.8853,-0.4146,"low","soil"
"29",29,1.45473229166667,5.9207,-0.1674,"low","soil"
"30",30,1.45295017361111,4.6479,-0.1094,"low","soil"
"31",31,1.42294123263889,3.8088,0.2584,"low","soil"
"32",32,1.10300373263889,3.4118,0.1222,"low","soil"
"33",33,1.0090751520417,3.5716,-0.4287,"low","soil"
"34",34,0.985844270833333,5.631,-0.8174,"low","soil"
"35",35,1.1985398163606,6.502,-0.4356,"low","soil"
"36",36,1.41215802469136,6.548,-0.2887,"low","soil"
"37",37,1.66213811728395,6.387,-0.1431,"low","soil"
"38",38,1.97143047839506,6.9749,-0.0417,"low","soil"
"39",39,1.98524583333333,7.4891,0.0447,"low","soil"
"40",40,1.94215081081081,7.8237,0.0163,"low","soil"
"41",41,2.13690640432099,8.521,-0.0469,"low","soil"
"42",42,2.18875200617284,8.3685,-0.0826,"low","soil"
"43",43,1.98075563271605,7.4154,-0.0909,"low","soil"
"44",44,2.00983665123457,8.8596,0.0051,"low","soil"
"45",45,1.8239587191358,7.3909,-0.0149,"low","soil"
"46",46,1.97235432098765,7.5262,-0.0147,"low","soil"
"47",47,2.55394845679012,9.104,-0.0047,"low","soil"
"48",48,2.97621004149378,8.9904,0.0399,"low","soil"
"49",49,3.3593180712424,8.3085,0.0831,"low","soil"
"50",50,3.28663480902778,8.2267,0.1237,"low","soil"
"51",51,3.28969713292789,9.4006,0.1791,"low","soil"
"52",52,3.25566762152778,10.5798,0.2212,"low","soil"
"53",53,2.81473708769107,9.915,0.2587,"low","soil"
"54",54,2.52759667953668,7.7849,0.3023,"low","soil"
"55",55,2.64485401234568,10.17,0.311,"low","soil"
"56",56,2.33214652777778,10.07,0.3249,"low","soil"
"57",57,2.41064891975309,9.51,0.3388,"low","soil"
"58",58,2.28193078703704,7.486,0.2453,"low","soil"
"59",59,2.53919205246914,7.7946,0.3361,"low","soil"
"60",60,2.46918864864865,7.6968,0.3285,"low","soil"
"61",61,2.69815590733591,10.12,0.3243,"low","soil"
"62",62,3.44430987654321,11.62,0.3238,"low","soil"
"63",63,3.79576520061728,12.71,0.1986,"low","soil"
"64",64,3.97925385802469,11.43,0.3997,"low","soil"
"65",65,4.30477276234568,10.82,0.8445,"low","soil"
"66",66,4.53745532407407,9.4355,1.148,"low","soil"
"67",67,3.96745686728395,10.29,1.1225,"low","soil"
"68",68,4.22340788863109,9.72,1.0423,"low","soil"
"69",69,4.50836957528958,9.6427,0.8917,"low","soil"
"70",70,4.71102669753086,10.7284,0.8134,"low","soil"
"71",71,5.23531087962963,11.1504,1.5034,"low","soil"
"72",72,6.23585293209877,11.336,1.2973,"low","soil"
"73",73,6.73072955246914,12.494,2.4864,"low","soil"
"74",74,7.29757677469136,12.9246,2.4883,"low","soil"
"75",75,7.95670516975309,14.1485,1.9465,"low","soil"
"76",76,8.53341666666667,13.6587,3.6872,"low","soil"
"77",77,8.11537203319502,14.374,3.346,"low","soil"
"78",78,7.94290852428964,14.516,2.1558,"low","soil"
