"","year","julian","mean","max","min","elevation","micro"
"1",2009,35,5.232,6.502,3.673,"low","soil"
"2",2009,36,3.9285625,6.548,1.764,"low","soil"
"3",2009,37,4.29625694444444,6.387,2.461,"low","soil"
"4",2009,38,4.08615972222222,5.941,2.409,"low","soil"
"5",2009,39,3.48540972222222,5.107,2.019,"low","soil"
"6",2009,40,3.56170138888889,5.365,2.211,"low","soil"
"7",2009,41,3.23576388888889,4.706,1.766,"low","soil"
"8",2009,42,2.81520138888889,3.72,2.107,"low","soil"
"9",2009,43,2.16543055555556,4.042,0.88,"low","soil"
"10",2009,44,1.88409722222222,2.482,1.469,"low","soil"
"11",2009,45,1.29788888888889,1.6,1.11,"low","soil"
"12",2009,46,1.52310416666667,3.504,0.501,"low","soil"
"13",2009,47,1.93298611111111,4.267,0.535,"low","soil"
"14",2009,48,2.68075,4.62,1.204,"low","soil"
"15",2009,49,3.05326388888889,5.574,1.434,"low","soil"
"16",2009,50,2.90552083333333,5.316,1.177,"low","soil"
"17",2009,51,2.48034722222222,4.163,1.159,"low","soil"
"18",2009,52,3.27208333333333,6.154,1.367,"low","soil"
"19",2009,53,2.87259027777778,4.382,1.325,"low","soil"
"20",2009,54,3.9238125,6.438,1.999,"low","soil"
"21",2009,55,6.63558333333333,10.17,3.722,"low","soil"
"22",2009,56,7.56338888888889,10.07,5.13,"low","soil"
"23",2009,57,7.52834722222222,9.51,5.766,"low","soil"
"24",2009,58,5.496375,7.486,3.732,"low","soil"
"25",2009,59,4.33625694444444,7.253,2.071,"low","soil"
"26",2009,60,3.89541958041958,6.092,2.162,"low","soil"
"27",2009,61,6.54711805555556,10.12,3.619,"low","soil"
"28",2009,62,8.896,11.62,6.959,"low","soil"
"29",2009,63,9.66163194444444,12.71,7.309,"low","soil"
"30",2009,64,8.83880555555556,11.43,6.267,"low","soil"
"31",2009,65,8.07453472222222,10.82,5.542,"low","soil"
"32",2009,66,7.53866666666667,9.08,5.893,"low","soil"
"33",2009,67,6.93750694444444,10.29,4.011,"low","soil"
"34",2009,68,7.10177083333333,9.72,4.582,"low","soil"
"35",2009,69,5.99825,7.219,4.455,"low","soil"
"36",2009,70,4.56952777777778,7.836,1.921,"low","soil"
"37",2009,71,4.87856944444444,7.415,2.289,"low","soil"
"38",2009,72,6.03568055555556,9.54,3.012,"low","soil"
"39",2009,73,6.90497222222222,10.83,3.504,"low","soil"
"40",2009,74,7.41859722222222,9.92,4.706,"low","soil"
"41",2009,75,8.50590972222222,11.71,6.197,"low","soil"
"42",2009,76,9.25383333333333,11.88,7.197,"low","soil"
"43",2009,77,9.32363888888889,11.24,7.25,"low","soil"
"44",2009,78,9.80309027777778,13.4,6.56,"low","soil"
"45",2009,79,10.0991666666667,11.93,8.39,"low","soil"
"46",2009,80,10.7689236111111,13.55,7.771,"low","soil"
"47",2009,81,12.1613194444444,15.65,8.85,"low","soil"
"48",2009,82,10.6494444444444,13.05,8.76,"low","soil"
"49",2009,83,8.82989583333333,11.39,6.707,"low","soil"
"50",2009,84,8.50152777777778,11.26,5.835,"low","soil"
"51",2009,85,6.06240277777778,8.36,4.765,"low","soil"
"52",2009,86,4.01134722222222,4.756,3.413,"low","soil"
"53",2009,87,3.02329166666667,3.414,2.643,"low","soil"
"54",2009,88,2.45670833333333,2.658,2.095,"low","soil"
"55",2009,89,2.90929166666667,4.771,1.991,"low","soil"
"56",2009,90,3.43040972222222,6.171,1.635,"low","soil"
"57",2009,91,3.05484027777778,3.951,2.292,"low","soil"
"58",2009,92,2.99529861111111,4.517,2.284,"low","soil"
"59",2009,93,4.49044444444444,7.395,2.109,"low","soil"
"60",2009,94,3.3490625,5.057,2.569,"low","soil"
"61",2009,95,2.33845833333333,2.568,2.073,"low","soil"
"62",2009,96,3.17190972222222,6.115,1.831,"low","soil"
"63",2009,97,5.14082638888889,8.43,2.236,"low","soil"
"64",2009,98,7.75402083333333,11.98,3.774,"low","soil"
"65",2009,99,8.55227083333333,11.93,5.438,"low","soil"
"66",2009,100,8.3418125,10.91,6.249,"low","soil"
"67",2009,101,7.73739583333333,10.24,5.518,"low","soil"
"68",2009,102,6.99264583333333,8.19,5.996,"low","soil"
"69",2009,103,7.40069230769231,10.77,4.029,"low","soil"
"70",2009,104,8.73504861111111,11.33,6.341,"low","soil"
"71",2009,105,9.38586111111111,12.62,6.47,"low","soil"
"72",2009,106,6.91885416666667,9.6,4.92,"low","soil"
"73",2009,107,3.81977083333333,4.892,3.094,"low","soil"
"74",2009,108,2.65977083333333,3.077,2.272,"low","soil"
"75",2009,109,2.03335416666667,2.263,1.767,"low","soil"
"76",2009,110,1.61670138888889,1.766,1.422,"low","soil"
"77",2009,111,4.88197222222222,9.88,1.424,"low","soil"
"78",2009,112,8.86353472222222,12.94,4.882,"low","soil"
"79",2009,113,11.2625416666667,16.18,6.719,"low","soil"
"80",2009,114,12.3031944444444,15.16,9.11,"low","soil"
"81",2009,115,9.27697916666667,11.81,7.807,"low","soil"
"82",2009,116,9.04749305555556,12.02,6.186,"low","soil"
"83",2009,117,7.823625,9.45,5.972,"low","soil"
"84",2009,118,9.78474305555556,13.41,6.372,"low","soil"
"85",2009,119,12.0028333333333,17.05,7.204,"low","soil"
"86",2009,120,12.0785416666667,15.18,9.13,"low","soil"
"87",2009,121,9.93708333333333,12.14,8.53,"low","soil"
"88",2009,122,8.64906944444444,9.69,7.796,"low","soil"
"89",2009,123,10.8230416666667,14.75,7.387,"low","soil"
"90",2009,124,11.8120138888889,15.2,8.53,"low","soil"
"91",2009,125,13.1028472222222,16.74,10.12,"low","soil"
"92",2009,126,14.5220833333333,19.3,9.88,"low","soil"
"93",2009,127,16.1059027777778,20.58,11.84,"low","soil"
"94",2009,128,16.2158333333333,19.91,12.7,"low","soil"
"95",2009,129,16.6258333333333,20.28,13.32,"low","soil"
"96",2009,130,12.8980555555556,16.05,11.36,"low","soil"
"97",2009,131,14.5059722222222,19.44,10.34,"low","soil"
"98",2009,132,16.2778472222222,20.65,12.08,"low","soil"
"99",2009,133,16.8879861111111,20.7,13.08,"low","soil"
"100",2009,134,16.5672222222222,20.33,12.4,"low","soil"
"101",2009,135,17.4361111111111,21.41,13.74,"low","soil"
"102",2009,136,17.4406944444444,20.84,14.65,"low","soil"
"103",2009,137,18.4208333333333,22.92,14.13,"low","soil"
"104",2009,138,20.335,24.89,16.01,"low","soil"
"105",2009,139,20.1294444444444,22.08,17.99,"low","soil"
"106",2009,140,20.174375,23.31,17.03,"low","soil"
"107",2009,141,17.3014583333333,20.11,15.84,"low","soil"
"108",2009,142,17.8264583333333,21.92,14.23,"low","soil"
"109",2009,143,17.4961805555556,18.59,16.14,"low","soil"
"110",2009,144,15.4589583333333,16.51,14.31,"low","soil"
"111",2009,145,14.5211111111111,16.92,12.45,"low","soil"
"112",2009,146,13.7638194444444,15.35,12.35,"low","soil"
"113",2009,147,15.3944444444444,19.94,11.2,"low","soil"
"114",2009,148,16.3476388888889,20.6,12.38,"low","soil"
"115",2009,149,18.4391666666667,23.72,13.36,"low","soil"
"116",2009,150,19.2988888888889,22.04,16.49,"low","soil"
"117",2009,151,18.606875,21.48,15.52,"low","soil"
"118",2009,152,18.6722916666667,21.82,16.21,"low","soil"
"119",2009,153,15.0442361111111,18.35,13.05,"low","soil"
"120",2009,154,13.7313194444444,15.58,12.3,"low","soil"
"121",2009,155,15.3196527777778,18.49,12.39,"low","soil"
"122",2009,156,17.0636111111111,20.49,13.56,"low","soil"
"123",2009,157,18.8059722222222,24.02,13.9,"low","soil"
"124",2009,158,16.6022916666667,19.06,15.06,"low","soil"
"125",2009,159,14.2603472222222,15.9,12.53,"low","soil"
"126",2009,160,15.6743055555556,19.02,12.74,"low","soil"
"127",2009,161,16.1390277777778,19.13,13.53,"low","soil"
"128",2009,162,16.1323611111111,18.78,13.98,"low","soil"
"129",2009,163,17.2423611111111,21.42,13.34,"low","soil"
"130",2009,164,18.4804861111111,22,15.51,"low","soil"
"131",2009,165,17.3442361111111,20.13,14.19,"low","soil"
"132",2009,166,16.9414583333333,19.89,14.13,"low","soil"
"133",2009,167,17.1433333333333,21.44,13.43,"low","soil"
"134",2009,168,18.0745833333333,21.21,14.85,"low","soil"
"135",2009,169,19.0973611111111,22.98,15.03,"low","soil"
"136",2009,170,20.7641666666667,25.52,16.23,"low","soil"
"137",2009,171,19.525625,21.55,17.65,"low","soil"
"138",2009,172,19.0922916666667,23.12,15.32,"low","soil"
"139",2009,173,20.9954861111111,26.28,15.9,"low","soil"
"140",2009,174,21.7947222222222,25.52,18.48,"low","soil"
"141",2009,175,22.0923611111111,26.82,18.1,"low","soil"
"142",2009,176,21.4272222222222,23.77,18.83,"low","soil"
"143",2009,177,20.7934027777778,23.36,18.5,"low","soil"
"144",2009,178,21.7710416666667,27.12,16.82,"low","soil"
"145",2009,179,23.55625,28.31,19.05,"low","soil"
"146",2009,180,24.0931944444444,27.67,20.3,"low","soil"
"147",2009,181,24.7454166666667,29.35,20.57,"low","soil"
"148",2009,182,24.5629166666667,27.93,20.93,"low","soil"
"149",2009,183,22.8177777777778,25.85,20.03,"low","soil"
"150",2009,184,22.2660416666667,25.28,19.66,"low","soil"
"151",2009,185,21.0068055555556,22.67,19.48,"low","soil"
"152",2009,186,20.8478472222222,25.04,17.07,"low","soil"
"153",2009,187,22.0006944444444,26.88,17.42,"low","soil"
"154",2009,188,23.6689583333333,28.3,19.1,"low","soil"
"155",2009,189,25.1466666666667,29.8,20.73,"low","soil"
"156",2009,190,25.3540277777778,29.25,21.66,"low","soil"
"157",2009,191,25.3810416666667,28.88,21.8,"low","soil"
"158",2009,192,25.4848611111111,29.53,22.13,"low","soil"
"159",2009,193,24.02625,26.11,21.74,"low","soil"
"160",2009,194,23.9825,26.42,20.91,"low","soil"
"161",2009,195,25.4120833333333,29.94,21.29,"low","soil"
"162",2009,196,25.6811805555556,29.21,22,"low","soil"
"163",2009,197,26.3453472222222,30.8,22.22,"low","soil"
"164",2009,198,26.6729166666667,30.75,22.73,"low","soil"
"165",2009,199,26.67375,30.68,22.82,"low","soil"
"166",2009,200,26.0741666666667,28.71,23.19,"low","soil"
"167",2009,201,25.7172222222222,28.57,23.01,"low","soil"
"168",2009,202,23.8136805555556,25.87,22.82,"low","soil"
"169",2009,203,24.4522916666667,28.77,20.47,"low","soil"
"170",2009,204,25.605,29.36,21.94,"low","soil"
"171",2009,205,27.09625,31.42,22.98,"low","soil"
"172",2009,206,26.6743055555556,29.65,23.75,"low","soil"
"173",2009,207,25.1819444444444,27.12,22.96,"low","soil"
"174",2009,208,24.0814583333333,26.99,21.64,"low","soil"
"175",2009,209,21.0630555555556,22.53,19.28,"low","soil"
"176",2009,210,19.539375,20.7,18.16,"low","soil"
"177",2009,211,17.2869444444444,18.12,16.25,"low","soil"
"178",2009,212,17.5625694444444,20.47,14.45,"low","soil"
"179",2009,213,20.4950694444444,26.12,15.67,"low","soil"
"180",2009,214,23.1344444444444,28.59,17.95,"low","soil"
"181",2009,215,24.1103472222222,28.02,20.46,"low","soil"
"182",2009,216,24.1447222222222,28.29,19.96,"low","soil"
"183",2009,217,25.4420138888889,30,21.28,"low","soil"
"184",2009,218,24.3722222222222,26.81,22.41,"low","soil"
"185",2009,219,23.7045833333333,28.06,19.38,"low","soil"
"186",2009,220,24.5340277777778,29.04,20.35,"low","soil"
"187",2009,221,25.2735416666667,29.66,21.45,"low","soil"
"188",2009,222,25.630625,29.49,21.88,"low","soil"
"189",2009,223,25.7284027777778,29.76,21.74,"low","soil"
"190",2009,224,26.3629861111111,30.56,22.31,"low","soil"
"191",2009,225,25.7500694444444,27.99,23.19,"low","soil"
"192",2009,226,23.9423611111111,25.61,22.71,"low","soil"
"193",2009,227,21.9245833333333,23.73,20.36,"low","soil"
"194",2009,228,22.1834027777778,25.84,18.38,"low","soil"
"195",2009,229,22.7303472222222,26.55,18.88,"low","soil"
"196",2009,230,22.404375,24.26,19.84,"low","soil"
"197",2009,231,23.3368055555556,27.3,19.43,"low","soil"
"198",2009,232,24.4977083333333,28.79,20.54,"low","soil"
"199",2009,233,25.0145833333333,29.35,20.9,"low","soil"
"200",2009,234,26.1584027777778,30.68,21.93,"low","soil"
"201",2009,235,26.7220138888889,29.67,23.57,"low","soil"
"202",2009,236,25.175625,26.78,23.14,"low","soil"
"203",2009,237,23.7526388888889,26.1,21.5,"low","soil"
"204",2009,238,23.04375,24.91,20.73,"low","soil"
"205",2009,239,23.9204166666667,28.67,19.77,"low","soil"
"206",2009,240,25.1631944444444,29.32,21.24,"low","soil"
"207",2009,241,24.3513888888889,26.7,21.45,"low","soil"
"208",2009,242,21.9927083333333,23.74,20.54,"low","soil"
"209",2009,243,21.6386805555556,25.05,18.56,"low","soil"
"210",2009,244,23.0104861111111,26.49,19.85,"low","soil"
"211",2009,245,24.0236805555556,27.58,20.41,"low","soil"
"212",2009,246,24.4877777777778,27.92,21.15,"low","soil"
"213",2009,247,24.0003472222222,27.36,20.54,"low","soil"
"214",2009,248,23.9288194444444,27.09,20.54,"low","soil"
"215",2009,249,23.0670833333333,25.64,20.25,"low","soil"
"216",2009,250,23.0781944444444,25.86,20.06,"low","soil"
"217",2009,251,22.7990972222222,25.21,20.24,"low","soil"
"218",2009,252,22.4722222222222,25.83,19.13,"low","soil"
"219",2009,253,22.7463194444444,26.06,19.32,"low","soil"
"220",2009,254,23.1695138888889,26.65,19.79,"low","soil"
"221",2009,255,19.7643055555556,23.39,17.46,"low","soil"
"222",2009,256,16.69,17.42,15.87,"low","soil"
"223",2009,257,21.5383529411765,23.49,16.82,"low","soil"
"224",2009,258,21.5338888888889,25.39,18.05,"low","soil"
"225",2009,259,21.5576388888889,24.2,19.29,"low","soil"
"226",2009,260,21.4170833333333,25.19,18.32,"low","soil"
"227",2009,261,21.6588888888889,25.58,18.07,"low","soil"
"228",2009,262,21.5990082644628,25.86,18.15,"low","soil"
