"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"1",1,5.23101045296167,8.2,2.4,1.546875,1.7,1.3,7.31074074074074,25.21,-4.9,-3.86654983036472,12.39,-12.306
"2",2,5.15517361111111,8.1,1.9,1.55,1.7,1.4,9.15611111111111,24.46,-4.74,-1.65370854537744,12.94,-9.508
"3",3,5.45784722222222,9,2.3,1.55,1.7,1.4,10.1538078703704,24.7,-2.45,2.16947094995759,11.61,-6.39
"4",4,5.78020833333333,9,2.3,1.55364583333333,1.7,1.4,9.85491898148148,22.85,1.37,3.13299151823579,10.61,-6.23
"5",5,5.75979166666667,8.63,2,1.6,1.7,1.5,10.8058357362553,22.2,2.72,3.61094624681934,14.15,-1.04
"6",6,6.07097222222222,8.86,2.1,1.63072916666667,1.7,1.5,11.511724537037,22.9,3.77,3.04623399067006,12.44,-3.627
"7",7,6.03725694444444,8.32,2.7,1.671875,1.7,1.6,10.6991782407407,25.31,0,2.80814365988126,11.492,-5.17
"8",8,5.89045138888889,8.86,2.7,1.53131313131313,1.7,1.3,8.35253472222222,17.53,0.77,-0.223690521628499,12.46,-6.77
"9",9,6.10572916666667,10.46,2.7,1.62845528455285,1.8,1.5,9.84614583333333,21.89,1.48,-0.465631891433418,10.12,-7.575
"10",10,6.3034375,10.58,3.2,1.75700934579439,1.8,1.7,9.6099537037037,18.37,1.37,-0.0692745971162003,9.14,-6.962
"11",11,6.43739583333333,10.67,2.9,1.86754966887417,2,1.8,8.84545138888889,20.75,-1.93,-0.464782548770144,10.271,-11.61
"12",12,6.46149305555556,10.9,1.8,2.01420454545455,2.4,1.8,9.20837962962963,18.89,-2.51,1.2322304670913,9.85,-13.43
"13",13,6.30534722222222,10.67,1.2,2.21354166666667,2.8,1.9,9.17471064814815,20.51,-2.71,2.4099006164966,12.56,-13.35
"14",14,6.07482638888889,10.56,0.9,2.03958333333333,2.5,1.9,9.0758912037037,19.75,-5.67,0.153469706632653,14.36,-15.06
"15",15,6.61046762589928,10.2,0.4,1.90989583333333,2,1.8,9.49770833333333,21.22,-5.45,0.0676343537414966,11.734,-15.43
"16",16,7.85108333333333,10.9,5.16,1.85,1.9,1.8,10.6823263888889,21.03,-1.78,3.45596545493197,10.907,-4.9
"17",17,8.07966666666667,12.1,5.94,1.82552083333333,1.9,1.7,13.0767708333333,22.9,5.95,5.74008386479592,10.98,-5.02
"18",18,7.913625,12,5.2,2.01927083333333,2.7,1.8,14.3657175925926,23.5,6.69,5.81297725340136,11.953,0.989
"19",19,8.02995833333333,11.8,4.7,2.415625,3.6,1.9,14.6792013888889,24.29,7.32,5.94360671768708,11.37,0.715
"20",20,8.1105,11.7,4.1,2.45104166666667,3.5,1.9,14.0829976851852,22.82,7.54,5.63238275935374,11.686,-6.11
"21",21,8.22120833333333,11.3,4.8,2.36822916666667,3.1,1.9,13.9065509259259,24.68,6.71,3.77890433673469,12.171,-7.97
"22",22,8.30333333333333,11.3,5.3,1.9921875,2.7,1.8,12.8263541666667,24.1,3.46,2.58975074404762,12.389,-5.854
"23",23,7.909375,10.7,4.3,1.7078125,1.9,1.5,12.9974189814815,24.53,0.96,3.84542038690476,11.22,-5.698
"24",24,8.19225,11.1,5.3,1.65,1.8,1.5,11.7749421296296,19.72,4.25,2.66074011479592,12.437,-3.51
"25",25,8.16583333333333,12.2,4.9,1.7078125,1.9,1.5,12.4349884259259,21.37,4.64,3.24698713860544,11.2,-3.75
"26",26,8.511625,12,5.1,2.25625,3.4,1.8,12.3307986111111,21.7,3.17,2.77144696003401,11.69,-4.957
"27",27,8.868375,11.9,5.2,2.81145833333333,4.6,1.8,12.8194328703704,21.84,4.71,4.34260225340136,10.44,-2.508
"28",28,9.17354166666667,11.76,5.5,3.0015625,4.7,1.8,12.5168865740741,23.62,1.26,6.44538052721088,11.175,-6.96
"29",29,9.19516666666667,12,5.8,3.21614583333333,5,1.8,12.4482407407407,23.33,-0.99,6.70708322704082,12.17,-9.99
"30",30,9.18157088122605,11.91,5.6,3.26666666666667,4.8,1.8,12.3038541666667,22.9,1.64,4.32221853741497,14.07,-6.99
