"","year","julian","mean","max","min","elevation","micro"
"1",2010,100,NA,NA,NA,"low","soil"
"2",2010,101,NA,NA,NA,"low","soil"
"3",2010,102,NA,NA,NA,"low","soil"
"4",2010,103,NA,NA,NA,"low","soil"
"5",2010,104,NA,NA,NA,"low","soil"
"6",2010,105,NA,NA,NA,"low","soil"
"7",2010,106,NA,NA,NA,"low","soil"
"8",2010,107,NA,NA,NA,"low","soil"
"9",2010,108,NA,NA,NA,"low","soil"
"10",2010,109,NA,NA,NA,"low","soil"
"11",2010,110,NA,NA,NA,"low","soil"
"12",2010,111,NA,NA,NA,"low","soil"
"13",2010,112,NA,NA,NA,"low","soil"
"14",2010,113,14.5541666666667,19.8,10.9,"low","soil"
"15",2010,114,17.05,26.7,10.4,"low","soil"
"16",2010,115,19.8833333333333,29.7,13,"low","soil"
"17",2010,116,21.7819444444444,31.1,15,"low","soil"
"18",2010,117,23.1819444444444,31.8,16.7,"low","soil"
"19",2010,118,23.7,31.4,17.9,"low","soil"
"20",2010,119,21.3875,25.1,18.1,"low","soil"
"21",2010,120,19.5069444444444,26.3,14.2,"low","soil"
"22",2010,121,19.4319444444444,26.9,13.4,"low","soil"
"23",2010,122,19.5402777777778,24.1,15.3,"low","soil"
"24",2010,123,20.4388888888889,28.9,14.2,"low","soil"
"25",2010,124,22.4916666666667,30.8,16.1,"low","soil"
"26",2010,125,24.1944444444444,32,18.2,"low","soil"
"27",2010,126,24.4680555555556,31.9,18.5,"low","soil"
"28",2010,127,25.0055555555556,32.5,19.1,"low","soil"
"29",2010,128,25.4305555555556,32,20.5,"low","soil"
"30",2010,129,25.6055555555556,33,19.8,"low","soil"
"31",2010,130,24.975,31.9,19.2,"low","soil"
"32",2010,131,24.0236111111111,31.3,18.3,"low","soil"
"33",2010,132,23.1083333333333,30.6,17,"low","soil"
"34",2010,133,24.2694444444444,32,18.3,"low","soil"
"35",2010,134,25.2625,32.8,19.4,"low","soil"
"36",2010,135,26.2041666666667,33.9,20.5,"low","soil"
"37",2010,136,26.6444444444444,34.4,20.5,"low","soil"
"38",2010,137,26.7527777777778,33.3,21,"low","soil"
"39",2010,138,26.4097222222222,33.4,20.6,"low","soil"
"40",2010,139,26.6708333333333,34.4,20.5,"low","soil"
"41",2010,140,27.6138888888889,35.6,21.4,"low","soil"
"42",2010,141,28.4805555555556,36.3,22.2,"low","soil"
"43",2010,142,28.4833333333333,36,22.2,"low","soil"
"44",2010,143,27.8722222222222,35,22.1,"low","soil"
"45",2010,144,25.7194444444444,33.2,19.4,"low","soil"
"46",2010,145,26.0444444444444,34.2,19.5,"low","soil"
"47",2010,146,27.4222222222222,35.8,20.6,"low","soil"
"48",2010,147,28.6444444444444,36.9,21.8,"low","soil"
"49",2010,148,29.7652777777778,37.7,23.4,"low","soil"
"50",2010,149,29.7680555555556,37.5,23.4,"low","soil"
"51",2010,150,29.6152777777778,37.7,22.9,"low","soil"
"52",2010,151,29.9513888888889,38,23.2,"low","soil"
"53",2010,152,30.3583333333333,38,24.1,"low","soil"
"54",2010,153,30.4361111111111,38.1,24.1,"low","soil"
"55",2010,154,30.6333333333333,38.5,24.2,"low","soil"
"56",2010,155,31.5902777777778,39.5,25.1,"low","soil"
"57",2010,156,32.4930555555556,40.4,26,"low","soil"
"58",2010,157,33.2125,41.1,26.8,"low","soil"
