"","julian","mean","max","min","elevation","micro"
"1",1,5.09444545454545,6.521,3.42,"low","soil"
"2",2,4.57168786127168,6.777,3.268,"low","soil"
"3",3,5.12123684210526,6.891,3.284,"low","soil"
"4",4,4.80733898305085,7.185,3.38,"low","soil"
"5",5,5.11937623762376,7.451,3.471,"low","soil"
"6",6,5.0914347826087,7.581,3.541,"low","soil"
"7",7,5.88139726027397,7.776,3.989,"low","soil"
"8",8,6.15540677966102,7.195,5.032,"low","soil"
"9",9,5.2242421875,8.11,2.945,"low","soil"
"10",10,5.64866666666667,7.676,3.024,"low","soil"
"11",11,5.45260759493671,7.621,4.505,"low","soil"
"12",12,4.59461855670103,6.222,3.013,"low","soil"
"13",13,6.01355072463768,7.762,3.104,"low","soil"
"14",14,4.60000641025641,7.545,3.057,"low","soil"
"15",15,5.24887150837989,6.875,3.041,"low","soil"
"16",16,4.857,6.752,2.684,"low","soil"
"17",17,5.48172625698324,7.081,2.702,"low","soil"
"18",18,5.47201169590643,7.37,2.722,"low","soil"
"19",19,5.44618099547511,7.69,2.98,"low","soil"
"20",20,5.80525136612022,7.623,3.48,"low","soil"
"21",21,6.27466666666667,7.587,4.105,"low","soil"
"22",22,6.20167832167832,7.813,4.026,"low","soil"
"23",23,5.50935,7.415,1.897,"low","soil"
"24",24,5.48970142180095,7.272,1.374,"low","soil"
"25",25,6.35840145985401,7.599,4.381,"low","soil"
"26",26,5.74702234636872,8.02,2.297,"low","soil"
"27",27,5.70059550561798,8.09,2.498,"low","soil"
"28",28,5.86575862068965,8.09,2.678,"low","soil"
"29",29,5.72795416666667,7.881,2.786,"low","soil"
"30",30,5.76752434456929,8.37,2.821,"low","soil"
"31",31,6.07522988505747,8.12,2.816,"low","soil"
"32",32,5.76220952380952,8.08,2.84,"low","soil"
"33",33,5.531765625,7.892,2.913,"low","soil"
"34",34,5.61611818181818,8.25,3.022,"low","soil"
"35",35,5.6457558685446,8.49,3.216,"low","soil"
"36",36,5.61972850678733,8.84,3.651,"low","soil"
"37",37,5.54388014981273,9.06,3.494,"low","soil"
"38",38,5.63503125,9.24,3.362,"low","soil"
"39",39,5.90412307692308,9.28,3.323,"low","soil"
"40",40,6.4839,9.94,3.899,"low","soil"
"41",41,6.63539330543933,9.89,4.348,"low","soil"
"42",42,6.6629375,9.31,3.939,"low","soil"
"43",43,6.96412916666667,8.91,3.919,"low","soil"
"44",44,6.84585416666667,9.17,3.557,"low","soil"
"45",45,6.673944,9.49,3.704,"low","soil"
"46",46,6.71294402985075,9.76,4.012,"low","soil"
"47",47,7.04608076923077,9.74,4.591,"low","soil"
"48",48,7.61770416666667,9.85,5.151,"low","soil"
"49",49,7.33031950207469,9.76,3.561,"low","soil"
"50",50,6.91136966824645,9.69,3.889,"low","soil"
"51",51,6.88522624434389,9.65,4.631,"low","soil"
"52",52,6.84261506276151,9.49,4.44,"low","soil"
"53",53,6.9988544600939,9.21,4.432,"low","soil"
"54",54,6.55626363636364,8.92,3.586,"low","soil"
"55",55,5.8874932735426,8.11,3.478,"low","soil"
"56",56,5.85122083333333,8.25,3.384,"low","soil"
"57",57,6.14996126760563,8.53,3.508,"low","soil"
"58",58,6.28773611111111,8.75,3.72,"low","soil"
"59",59,6.34998263888889,8.31,4.012,"low","soil"
"60",60,6.60020737327189,8.2,4.077,"low","soil"
"61",61,5.83595744680851,8.45,3.79,"low","soil"
"62",62,6.117925,8.65,4.019,"low","soil"
"63",63,6.46614285714286,9,4.252,"low","soil"
"64",64,6.36861440677966,8.97,4.527,"low","soil"
"65",65,6.71437686567164,8.82,4.42,"low","soil"
"66",66,7.49348163265306,9.14,4.339,"low","soil"
"67",67,7.02222352941176,9.47,3.759,"low","soil"
"68",68,6.63610849056604,8.81,3.657,"low","soil"
"69",69,6.46988181818182,8.95,4.095,"low","soil"
"70",70,6.73008208955224,9.35,4.611,"low","soil"
"71",71,7.13132986111111,9.36,4.985,"low","soil"
"72",72,7.42294097222222,9.1,5.689,"low","soil"
"73",73,7.35334027777778,9.6,5.778,"low","soil"
"74",74,7.75047569444444,10.35,6.049,"low","soil"
"75",75,8.19460763888889,10.95,6.616,"low","soil"
"76",76,8.58170486111111,10.98,6.984,"low","soil"
"77",77,8.92243846153846,10.88,7.354,"low","soil"
"78",78,8.71194029850746,10.75,4.996,"low","soil"
"79",79,8.66301153846154,10.71,4.697,"low","soil"
"80",80,8.67617537313433,11.03,4.145,"low","soil"
"81",81,8.86163846153846,10.93,4.039,"low","soil"
"82",82,8.52693777777778,10.7,3.381,"low","soil"
"83",83,7.85236749116608,10.45,3.175,"low","soil"
"84",84,8.05141538461539,10.14,3.064,"low","soil"
"85",85,8.02936,10.33,3.086,"low","soil"
"86",86,8.02449116607774,10.96,3.674,"low","soil"
"87",87,8.57457142857143,11.54,4.006,"low","soil"
"88",88,8.43093536121673,11.7,4.235,"low","soil"
"89",89,8.43381597222222,11.85,5.131,"low","soil"
"90",90,8.57456944444444,12.05,5.653,"low","soil"
"91",91,8.41355555555556,11.75,6.464,"low","soil"
"92",92,8.19956944444444,11.19,6.236,"low","soil"
"93",93,7.95595384615385,10.44,5.091,"low","soil"
"94",94,7.88199253731343,10.2,5.112,"low","soil"
"95",95,8.27181944444444,10.19,5.932,"low","soil"
"96",96,8.55975347222222,10.02,6.057,"low","soil"
"97",97,8.78641923076923,10.3,6.535,"low","soil"
"98",98,8.47374222222222,10.68,5.169,"low","soil"
"99",99,8.460575,11.16,5.185,"low","soil"
"100",100,8.3885176056338,11.14,6.227,"low","soil"
"101",101,8.67837847222222,11.12,6.807,"low","soil"
"102",102,9.06960763888889,11.41,7.342,"low","soil"
"103",103,9.38031944444444,11.81,6.807,"low","soil"
"104",104,9.79542307692308,11.9,6.523,"low","soil"
"105",105,9.84197767857143,11.77,4.852,"low","soil"
"106",106,9.4183671875,11.98,4.355,"low","soil"
"107",107,8.99065671641791,12.07,3.754,"low","soil"
"108",108,8.55036764705882,12.12,4.233,"low","soil"
"109",109,9.13448360655738,12.35,6.352,"low","soil"
"110",110,9.70385416666667,12.49,7.362,"low","soil"
"111",111,10.064838028169,12.5,7.971,"low","soil"
"112",112,10.4535416666667,12.36,8.84,"low","soil"
"113",113,10.8251736111111,12.31,9.43,"low","soil"
"114",114,10.9064930555556,12.14,9.67,"low","soil"
"115",115,10.7782638888889,12.83,9.34,"low","soil"
"116",116,10.7292013888889,13.08,8.88,"low","soil"
"117",117,10.0855763888889,12.32,7.594,"low","soil"
"118",118,10.0232152777778,12.33,7.613,"low","soil"
"119",119,10.308125,12.9,8.27,"low","soil"
"120",120,10.5372916666667,13.28,8.85,"low","soil"
"121",121,10.8401041666667,13.62,8.51,"low","soil"
"122",122,11.38875,13.6,9.21,"low","soil"
"123",123,11.7272222222222,13.38,9.27,"low","soil"
"124",124,11.8859027777778,13.39,9.56,"low","soil"
"125",125,12.0217361111111,13.52,10.14,"low","soil"
"126",126,12.0073958333333,13.52,10.41,"low","soil"
"127",127,11.6846180555556,12.92,10.25,"low","soil"
"128",128,10.835737704918,12.24,9.69,"low","soil"
"129",129,10.6142253521127,12.16,9.67,"low","soil"
"130",130,10.7744097222222,12.6,9.42,"low","soil"
"131",131,11.1929513888889,13.03,9.65,"low","soil"
"132",132,11.7147916666667,13.6,10.15,"low","soil"
"133",133,11.9908333333333,14.31,10.04,"low","soil"
"134",134,12.3356147540984,14.82,10.32,"low","soil"
"135",135,12.3140845070423,15.19,9.89,"low","soil"
"136",136,12.3254166666667,14.88,9.66,"low","soil"
"137",137,12.559262295082,14.87,9.27,"low","soil"
"138",138,12.0866197183099,14.65,9.6,"low","soil"
"139",139,12.1359027777778,14.52,9.63,"low","soil"
"140",140,12.0595486111111,14.53,9.76,"low","soil"
"141",141,12.1877430555556,13.91,10.21,"low","soil"
"142",142,12.3213194444444,14.24,10.72,"low","soil"
"143",143,12.191875,14.78,10.44,"low","soil"
"144",144,12.2283846153846,15.03,10.44,"low","soil"
"145",145,12.310671641791,14.89,10.39,"low","soil"
"146",146,12.4400347222222,14.68,10.75,"low","soil"
"147",147,12.4417013888889,15.46,10.37,"low","soil"
"148",148,12.2596180555556,15.94,10.26,"low","soil"
"149",149,12.3442361111111,15.85,10,"low","soil"
"150",150,12.6546180555556,14.98,10.74,"low","soil"
"151",151,13.0244791666667,14.64,11.28,"low","soil"
"152",152,13.2975,15.08,11.89,"low","soil"
"153",153,13.4960416666667,15.32,12.28,"low","soil"
"154",154,13.8779166666667,15,12.47,"low","soil"
"155",155,14.1595138888889,15.52,12.86,"low","soil"
"156",156,14.3144097222222,15.62,13.03,"low","soil"
"157",157,14.3372569444444,15.66,12.61,"low","soil"
"158",158,14.2787847222222,15.85,12.47,"low","soil"
