"","julian","low_soil_mean","low_soil_max","low_soil_min","mid_soil_mean","mid_soil_max","mid_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_ground_mean","low_ground_max","low_ground_min","mid_ground_mean","mid_ground_max","mid_ground_min","high_ground_mean","high_ground_max","high_ground_min","low_air_mean","low_air_max","low_air_min","mid_air_mean","mid_air_max","mid_air_min","high_air_mean","high_air_max","high_air_min"
"1",1,5.09444545454545,6.521,3.42,3.24522569444444,6.425,0.86,NA,NA,NA,5.03109272727273,6.835,2.9045,3.29888072916667,7.2043,-1.0145,NA,NA,NA,3.1269385,10.9439,-2.7069,-0.0339591711805555,11.9621,-6.3151,-0.187513333333333,8.1616,-6.5272
"2",2,4.57168786127168,6.777,3.268,3.2583125,6.126,1.046,NA,NA,NA,4.60599653179191,7.2562,2.8045,3.307034375,8.053,-0.913,NA,NA,NA,5.08144495734266,21.1161,-3.2393,0.885765482638889,14.0405,-6.4528,-0.1952825,10.201,-8.0329
"3",3,5.12123684210526,6.891,3.284,3.40883333333333,6.526,1.438,NA,NA,NA,5.15019649122807,7.2455,2.6505,3.3450984375,9.1325,-0.22425,NA,NA,NA,6.41063428571429,19.9964,0.10478,2.49390513194444,13.1657,-5.3767,-0.73184275,9.3423,-8.78
"4",4,4.80733898305085,7.185,3.38,3.55605208333333,6.486,2.147,NA,NA,NA,4.92043050847458,7.412,3.1515,3.36713107638889,7.8528,-0.3975,NA,NA,NA,9.55182688172043,18.0095,1.9887,3.90293299375,13.1117,-3.2631,0.910943866666667,9.0265,-9.65
"5",5,5.11937623762376,7.451,3.471,3.65813194444444,7.054,2.178,NA,NA,NA,5.06339306930693,7.7822,2.922,3.38136614583333,9.4703,0.52575,NA,NA,NA,8.60299734513274,16.5565,3.5136,4.34555375694444,14.3909,-4.3543,2.06007753333333,10.2778,-6.03
"6",6,5.0914347826087,7.581,3.541,3.83984375,7.42,2.127,NA,NA,NA,5.06998188405797,7.7497,3.2332,3.41638767361111,9.513,0.79975,NA,NA,NA,10.3021271186441,16.7846,5.1334,3.38991802430556,14.8307,-5.7071,0.713080833333333,9.809,-5.97
"7",7,5.88139726027397,7.776,3.989,3.99705555555556,7.147,2.324,NA,NA,NA,5.76865753424658,8.3352,3.3577,3.52450954861111,8.6002,0.634,NA,NA,NA,10.403505952381,14.75,2.9785,4.84934240972222,14.058,-6.2987,-1.61516355140187,8.0387,-9.19
"8",8,6.15540677966102,7.195,5.032,3.81808680555556,6.4,1.336,NA,NA,NA,6.10567118644068,7.473,4.3655,3.42381388888889,8.8465,-0.29025,NA,NA,NA,10.1150612244898,19.3765,4.3081,4.27226264930556,11.9126,-7.2037,-2.50746431192661,5.7224,-9.5691
"9",9,5.2242421875,8.11,2.945,3.78877777777778,6.403,1.43,NA,NA,NA,5.20800078125,8.97,2.6455,3.35034340277778,7.6092,0.492,NA,NA,NA,7.49141175182482,17.4964,-1.9696,3.2092840625,12.7139,-10.4142,0.287711111111111,8.1672,-10.0541
"10",10,5.64866666666667,7.676,3.024,3.94658333333333,6.033,1.512,NA,NA,NA,5.64570909090909,8.4277,2.7058,3.56954027777778,6.2935,0.552,NA,NA,NA,9.10998991071428,15.1709,0.39649,3.35747367708333,12.2552,-10.1907,6.36754791666667,9.5416,3.7137
