"","year","julian","mean","max","min","elevation","micro"
"1",2012,1,NA,NA,NA,"low","soil"
"2",2012,2,NA,NA,NA,"low","soil"
"3",2012,3,NA,NA,NA,"low","soil"
"4",2012,4,NA,NA,NA,"low","soil"
"5",2012,5,NA,NA,NA,"low","soil"
"6",2012,6,NA,NA,NA,"low","soil"
"7",2012,7,NA,NA,NA,"low","soil"
"8",2012,8,NA,NA,NA,"low","soil"
"9",2012,9,NA,NA,NA,"low","soil"
"10",2012,10,NA,NA,NA,"low","soil"
"11",2012,11,NA,NA,NA,"low","soil"
"12",2012,12,NA,NA,NA,"low","soil"
"13",2012,13,NA,NA,NA,"low","soil"
"14",2012,14,NA,NA,NA,"low","soil"
"15",2012,15,NA,NA,NA,"low","soil"
"16",2012,16,NA,NA,NA,"low","soil"
"17",2012,17,NA,NA,NA,"low","soil"
"18",2012,18,NA,NA,NA,"low","soil"
"19",2012,19,NA,NA,NA,"low","soil"
"20",2012,20,NA,NA,NA,"low","soil"
"21",2012,21,NA,NA,NA,"low","soil"
"22",2012,22,NA,NA,NA,"low","soil"
"23",2012,23,NA,NA,NA,"low","soil"
"24",2012,24,NA,NA,NA,"low","soil"
"25",2012,25,NA,NA,NA,"low","soil"
"26",2012,26,NA,NA,NA,"low","soil"
"27",2012,27,5.18535416666667,5.524,4.908,"low","soil"
"28",2012,28,5.876375,6.115,5.564,"low","soil"
"29",2012,29,5.73314583333333,6.302,5.151,"low","soil"
"30",2012,30,5.74283333333333,6.113,5.3,"low","soil"
"31",2012,31,5.9686875,6.465,5.452,"low","soil"
"32",2012,32,6.09779166666667,6.437,5.595,"low","soil"
"33",2012,33,6.17283333333333,6.471,5.703,"low","soil"
"34",2012,34,6.02766666666667,6.647,5.419,"low","soil"
"35",2012,35,5.69220833333333,6.207,5.122,"low","soil"
"36",2012,36,5.39304166666667,5.971,4.811,"low","soil"
"37",2012,37,5.27416666666667,5.821,4.711,"low","soil"
"38",2012,38,5.31210416666667,5.748,4.847,"low","soil"
"39",2012,39,5.97479166666667,6.207,5.722,"low","soil"
"40",2012,40,NA,NA,NA,"low","soil"
"41",2012,41,NA,NA,NA,"low","soil"
"42",2012,42,6.67375,7.097,6.185,"low","soil"
"43",2012,43,6.79502083333333,7.296,6.429,"low","soil"
"44",2012,44,NA,NA,NA,"low","soil"
"45",2012,45,NA,NA,NA,"low","soil"
"46",2012,46,NA,NA,NA,"low","soil"
"47",2012,47,NA,NA,NA,"low","soil"
"48",2012,48,NA,NA,NA,"low","soil"
"49",2012,49,NA,NA,NA,"low","soil"
"50",2012,50,4.24127083333333,4.641,3.889,"low","soil"
"51",2012,51,4.87145833333333,5.177,4.631,"low","soil"
"52",2012,52,4.85964583333333,5.292,4.44,"low","soil"
"53",2012,53,4.89422916666667,5.322,4.432,"low","soil"
"54",2012,54,5.33014583333333,5.808,4.909,"low","soil"
"55",2012,55,5.83220833333333,6.254,5.355,"low","soil"
"56",2012,56,6.20685416666667,6.799,5.744,"low","soil"
"57",2012,57,6.70689583333333,7.251,6.137,"low","soil"
"58",2012,58,6.42689583333333,7.02,5.867,"low","soil"
"59",2012,59,6.15789583333333,6.604,5.78,"low","soil"
"60",2012,60,NA,NA,NA,"low","soil"
"61",2012,61,NA,NA,NA,"low","soil"
"62",2012,62,NA,NA,NA,"low","soil"
"63",2012,63,NA,NA,NA,"low","soil"
"64",2012,64,4.99302083333333,5.545,4.527,"low","soil"
"65",2012,65,5.7993125,6.479,5.339,"low","soil"
"66",2012,66,6.67585416666667,7.112,6.132,"low","soil"
"67",2012,67,7.09110416666667,7.686,6.611,"low","soil"
"68",2012,68,NA,NA,NA,"low","soil"
"69",2012,69,NA,NA,NA,"low","soil"
"70",2012,70,5.52202083333333,6.016,4.998,"low","soil"
"71",2012,71,6.23870833333333,6.699,5.661,"low","soil"
"72",2012,72,6.54285416666667,7.166,5.908,"low","soil"
"73",2012,73,6.37247916666667,6.941,5.778,"low","soil"
"74",2012,74,6.45922916666667,6.807,6.049,"low","soil"
"75",2012,75,6.84583333333333,7.363,6.616,"low","soil"
"76",2012,76,7.598375,7.966,7.342,"low","soil"
"77",2012,77,NA,NA,NA,"low","soil"
"78",2012,78,NA,NA,NA,"low","soil"
"79",2012,79,NA,NA,NA,"low","soil"
"80",2012,80,NA,NA,NA,"low","soil"
"81",2012,81,NA,NA,NA,"low","soil"
"82",2012,82,NA,NA,NA,"low","soil"
"83",2012,83,3.2700625,3.447,3.175,"low","soil"
"84",2012,84,NA,NA,NA,"low","soil"
"85",2012,85,NA,NA,NA,"low","soil"
"86",2012,86,4.036125,4.222,3.674,"low","soil"
"87",2012,87,NA,NA,NA,"low","soil"
"88",2012,88,NA,NA,NA,"low","soil"
"89",2012,89,5.344875,5.982,5.131,"low","soil"
"90",2012,90,6.15185416666667,6.741,5.653,"low","soil"
"91",2012,91,6.90758333333333,7.565,6.464,"low","soil"
"92",2012,92,7.53822916666667,8.05,7.101,"low","soil"
"93",2012,93,NA,NA,NA,"low","soil"
"94",2012,94,NA,NA,NA,"low","soil"
"95",2012,95,6.40733333333333,7.136,5.945,"low","soil"
"96",2012,96,7.30720833333333,7.779,6.889,"low","soil"
"97",2012,97,NA,NA,NA,"low","soil"
"98",2012,98,NA,NA,NA,"low","soil"
"99",2012,99,5.86245833333333,6.606,5.185,"low","soil"
"100",2012,100,6.8675,7.543,6.227,"low","soil"
"101",2012,101,7.60479166666667,8.18,6.925,"low","soil"
"102",2012,102,8.02160416666667,8.65,7.342,"low","soil"
"103",2012,103,7.81891666666667,8.61,6.807,"low","soil"
"104",2012,104,NA,NA,NA,"low","soil"
"105",2012,105,NA,NA,NA,"low","soil"
"106",2012,106,NA,NA,NA,"low","soil"
"107",2012,107,NA,NA,NA,"low","soil"
"108",2012,108,5.07647916666667,6.374,4.233,"low","soil"
"109",2012,109,6.89814583333333,7.842,6.352,"low","soil"
"110",2012,110,7.96397916666667,8.59,7.362,"low","soil"
"111",2012,111,8.61070833333333,9.18,7.971,"low","soil"
"112",2012,112,9.44958333333333,10.35,8.84,"low","soil"
"113",2012,113,10.6147916666667,11.36,9.93,"low","soil"
"114",2012,114,11.468125,12.14,10.72,"low","soil"
"115",2012,115,12.2333333333333,12.83,11.54,"low","soil"
"116",2012,116,12.5266666666667,13.08,12.02,"low","soil"
"117",2012,117,11.864375,12.32,11.39,"low","soil"
"118",2012,118,11.638125,12.07,11.22,"low","soil"
"119",2012,119,10.7929166666667,11.52,10.11,"low","soil"
"120",2012,120,10.4291666666667,10.75,9.99,"low","soil"
"121",2012,121,10.4983333333333,11.39,9.84,"low","soil"
"122",2012,122,11.4429166666667,12.12,10.69,"low","soil"
"123",2012,123,11.97375,12.6,11.23,"low","soil"
"124",2012,124,11.8422916666667,12.67,10.98,"low","soil"
"125",2012,125,11.609375,12.34,10.92,"low","soil"
"126",2012,126,11.265625,12.18,10.41,"low","soil"
"127",2012,127,11.0989583333333,11.87,10.25,"low","soil"
"128",2012,128,10.971875,11.64,10.18,"low","soil"
"129",2012,129,11.4920833333333,12.16,10.68,"low","soil"
"130",2012,130,11.8589583333333,12.6,11.03,"low","soil"
"131",2012,131,12.370625,13.03,11.59,"low","soil"
"132",2012,132,12.806875,13.6,11.97,"low","soil"
"133",2012,133,12.8347916666667,13.72,11.92,"low","soil"
"134",2012,134,12.9689583333333,13.7,12.19,"low","soil"
"135",2012,135,13.4502083333333,14.18,12.68,"low","soil"
"136",2012,136,13.6629166666667,14.48,12.86,"low","soil"
"137",2012,137,13.19375,14.29,12.26,"low","soil"
"138",2012,138,13.116875,13.85,12.36,"low","soil"
"139",2012,139,13.6541666666667,14.34,12.94,"low","soil"
"140",2012,140,13.360625,14.53,12.36,"low","soil"
"141",2012,141,13.11375,13.91,12.31,"low","soil"
"142",2012,142,13.469375,14.24,12.66,"low","soil"
