site,year,month,micro,TAD,janzenDscore,TAD_elevCorr,janzenDscore_elevCorr,macro,foliage,flora,snow_source_flag,height_notes,snowdepth,latitude,veg_structure,foliage_cover,height,elevation_change,snow_presence
AK_ameriflux,1996,1,soil,11.794,2.7476990334258207,-11.248081867953546,1.7899189538842541,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88103606557378,0,0,-0.09,421,no snow
AK_ameriflux,1996,2,soil,12.536000000000001,1.8943127241559452,-10.506081867949623,0.9365326446143787,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,3,soil,7.744999999999999,2.598466649470535,-15.297081867954198,1.6406865699289683,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,4,soil,7.814,3.067263301421405,-15.228081867954199,2.109483221879838,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,5,soil,10.761,1.2321683924899336,-12.2810818679542,0.2743883129483671,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,6,soil,4.955,0.9369927854921649,-18.087081867954193,-0.020787294049401606,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,7,soil,5.452,1.043992438289489,-17.590081867954193,0.08621235874792244,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.88525000000001,0,0,-0.09,421,no snow
AK_ameriflux,1996,8,soil,3.677,0.9252840208553552,-19.365081867954196,-0.032496058686211304,alpine meadow,leaf-off,unknown but likely irrelevant,single_avg,from metadata,0,68.71156756756757,0,0,-0.09,421,no snow
AU,1,1,soil,-2.300666666666668,-0.7890384812142448,-19.81938660943655,-1.5049620159384824,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,2,soil,-2.6924166666666665,-1.1116850218849283,-20.211136609436547,-1.827608556609166,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
