macro,foliage,micro,overlap,elevation_change,overlap_elevCorr
alpine meadow,leaf-off,soil,0.3969693850057539,1802,0.13835479288959118
alpine meadow,leaf-off,surface,0.3875498673678619,1802,0.12893527525169918
deciduous,leaf-off,canopy,0.6747802434502246,1200,0.24667313317930648
deciduous,leaf-off,soil,0.6002865794009528,766.5666666666667,0.050146733052167276
deciduous,leaf-off,surface,0.7770315087027353,873.9,0.25711125861410006
deciduous,leaf-on,canopy,0.260463365486594,1200,-0.16764374478432412
deciduous,leaf-on,soil,0.3910214759632127,766.5666666666667,-0.1591183703855728
deciduous,leaf-on,surface,0.5284922059035968,873.9,0.008571955814961573
Dense coniferous,leaf-on,soil,0.3844635818394972,957,-0.11205994356697833
Dense coniferous,leaf-on,surface,0.6363358005531115,1175,0.20118996444520182
developed,leaf-off,surface,0.38118439372735924,1605.9666666666667,0.06737680608140047
hot desert,leaf-off,soil,0.5666784362090007,1005,0.08366926440954887
hot desert,leaf-off,surface,0.5737331305695792,1005,0.09072395877012736
meadow near forest,leaf-off,surface,0.7029872647524203,993.25,0.21666989180958252
Ponderosa pine,leaf-on,soil,0.7074981832126488,388.1500000000001,0.050815490111268714
Ponderosa pine,leaf-on,surface,0.8080945855097085,530,0.19134962280741813
scrub shrub,leaf-off,soil,0.65188452140783,543,0.03879969614077532
scrub shrub,leaf-off,surface,0.7095203635821838,743,0.1527453450110606
tropical broadleaf,leaf-on,canopy,0.31912120443979575,1078.4285714285713,-0.14321422404414963
tropical broadleaf,leaf-on,soil,0.24880189526081184,1222.75,-0.172899974498444
tropical broadleaf,leaf-on,surface,0.33396274030958634,1078.4285714285713,-0.12837268817435898
