macro,foliage,micro,overlap,elevation_change,overlap_elevCorr
alpine meadow,leaf-off,soil,0.44397517981940976,1802,0.36510925148646745
alpine meadow,leaf-off,surface,0.35060567844267093,1802,0.2717397501097302
deciduous,leaf-off,canopy,0.6335468769848733,1200,0.3301994762912274
deciduous,leaf-off,soil,0.7043085412252207,766.5666666666667,0.2393369663839422
deciduous,leaf-off,surface,0.7364025528687376,873.9,0.311454806432856
deciduous,leaf-on,canopy,0,1200,-0.3033474006936459
deciduous,leaf-on,soil,0.405247813487932,766.5666666666667,-0.05972376135334651
deciduous,leaf-on,surface,0.38623745619638944,873.9,-0.038710290239492115
Dense coniferous,leaf-on,soil,0.5144821388145695,957,0.12052178499193475
Dense coniferous,leaf-on,surface,0.6120818665542785,1175,0.2994121455798725
developed,leaf-off,surface,0.6304524436353832,698.9,0.14024845523418047
hot desert,leaf-off,soil,0.5598928109960457,1005,0.1838313121124705
hot desert,leaf-off,surface,0.5363593156255054,1005,0.1602978167419302
meadow near forest,leaf-off,surface,0.7000822862488194,993.25,0.31963929683328685
Ponderosa pine,leaf-on,soil,0.7312166215019207,388.1500000000001,0.12513619201086912
Ponderosa pine,leaf-on,surface,0.8485380192258404,530,0.29535243500782193
scrub shrub,leaf-off,soil,0.7076914853647891,543,0.15935350769276602
scrub shrub,leaf-off,surface,0.6728406612268475,743,0.1990812458009057
tropical broadleaf,leaf-on,canopy,0.0021642845043809973,971,-0.38657556996102804
tropical broadleaf,leaf-on,soil,0.28826299218373574,977.5,-0.09805305900867567
tropical broadleaf,leaf-on,surface,0.07365050315154124,953.25,-0.3217081987132075
