"","site","micro","year","chi_squared","df","p_value","method"
"1","boulder","soil",2009,8.20681114551081,1,0.00417334306275728,"overlap by foliage"
"2","boulder","surface",2009,0.136363636363626,1,0.7119231506922,"overlap by foliage"
"3","boulder","soil",2010,68.0046850796737,1,1.63107521071041e-16,"overlap by foliage"
"4","boulder","surface",2010,91.7053160174079,1,1.00594292672451e-21,"overlap by foliage"
"5","boulder","soil",2011,101.522111181743,1,7.06701683078291e-24,"overlap by foliage"
"6","boulder","surface",2011,75.4023684234845,1,3.83929196791726e-18,"overlap by foliage"
"7","boulder","soil",2012,18.5566511362156,1,1.64928738648129e-05,"overlap by foliage"
"8","boulder","surface",2012,104.054112888162,1,1.96865221693955e-24,"overlap by foliage"
"9","boulder","soil",2013,102.993368033098,1,3.36272047540406e-24,"overlap by foliage"
"10","boulder","surface",2013,84.0536757946545,1,4.81522290207035e-20,"overlap by foliage"
"11","boulder","soil",2014,63.338458623184,1,1.74072311981321e-15,"overlap by foliage"
"12","boulder","surface",2014,50.9719406793153,1,9.36958165862509e-13,"overlap by foliage"
"13","boulder","soil",2015,88.9032064250757,1,4.14610827373204e-21,"overlap by foliage"
"14","boulder","surface",2015,82.6180677100063,1,9.95430043604303e-20,"overlap by foliage"
"15","boulder","soil",2016,103.755061645276,1,2.28939454059987e-24,"overlap by foliage"
"16","boulder","surface",2016,92.5158150536231,1,6.67889134868982e-22,"overlap by foliage"
"17","boulder","soil",2017,105.842262011187,1,7.98444606821438e-25,"overlap by foliage"
"18","boulder","surface",2017,74.9347216449618,1,4.86537735481535e-18,"overlap by foliage"
