"","site","micro","year","chi_squared","df","p_value","method"
"1","sierra","soil",2012,39.9563872858785,1,2.59696971330023e-10,"overlap by foliage"
"2","sierra","ground",2012,61.3883271256653,1,4.68580339004039e-15,"overlap by foliage"
"3","sierra","air",2012,0.203584995251617,1,0.651842570414358,"overlap by foliage"
"4","sierra","soil",2013,22.6351370868422,1,1.95869539171124e-06,"overlap by foliage"
"5","sierra","ground",2013,47.1688653605277,1,6.51267806976557e-12,"overlap by foliage"
"6","sierra","air",2013,0.960699477195021,1,0.327010707920935,"overlap by foliage"
"7","sierra","soil",2014,9.5954270782297,1,0.00195062549551264,"overlap by foliage"
"8","sierra","ground",2014,1.7656785889269,1,0.183917793154733,"overlap by foliage"
"9","sierra","air",2014,23.9607781246149,1,9.83183349261993e-07,"overlap by foliage"
"10","sierra","soil",2015,21.2862301019695,1,3.95562766108138e-06,"overlap by foliage"
"11","sierra","ground",2015,43.2779375336403,1,4.74908245084865e-11,"overlap by foliage"
"12","sierra","air",2015,0.0374565651591183,1,0.846538442508862,"overlap by foliage"
"13","sierra","soil",2016,25.6147765845237,1,4.16835129558691e-07,"overlap by foliage"
"14","sierra","ground",2016,29.1682308236857,1,6.63583946028846e-08,"overlap by foliage"
"15","sierra","air",2016,12.1876997750227,1,0.000481056654662138,"overlap by foliage"
"16","sierra","soil",2017,9.92757795709826,1,0.00162820643047733,"overlap by foliage"
"17","sierra","ground",2017,3.16351823475327,1,0.0753007394341185,"overlap by foliage"
"18","sierra","air",2017,18.203128003075,1,1.98552469708619e-05,"overlap by foliage"
