(Intercept),elevation_change,foliage,latitude,macro,micro,snowdepth,veg_structure,df,logLik,AICc,delta,weight
11.068756980011132,-0.004620362018976986,+,-0.14930959677941008,+,+,-0.013774452252295701,0.0032743248264067502,18,-25211.455974623317,50458.97486315392,0,0.887298303410976
8.492198909361328,-0.004287844620360877,+,-0.08299071424501758,+,+,-0.01378992348660436,NA,17,-25214.8783227338,50463.812931681154,4.838068527235009,0.0789762337139118
5.442306243763539,-0.004439421174007348,+,NA,+,+,-0.01381318711808515,NA,16,-25217.344469753123,50466.73896709499,7.764103941073699,0.0182858815341649
5.469287638449627,-0.004526454768624706,+,NA,+,+,-0.013813322980318503,6.280549525257849e-4,17,-25217.205945120528,50468.46817645461,9.493313300692535,0.00770234310108776
13.486654713728155,-0.007523467430017315,+,NA,NA,+,-0.013837150688588833,NA,8,-25227.485462869587,50470.98415860078,12.009295446863689,0.00218919415055188
2.819568867637028,NA,+,-0.14917754661322868,+,+,-0.013740797519104907,0.0028790835087155763,17,-25218.7337713721,50471.523828957754,12.548965803835017,0.00167146139374924
1.0637480453438972,NA,+,-0.09046279712749344,+,+,-0.013761421524966384,NA,16,-25220.24270494929,50472.53543748733,13.560574333409022,0.00100792530533617
14.160696142371625,-0.007817242851639832,+,-0.016239716750588485,NA,+,-0.013825664759816511,NA,9,-25227.29526641529,50472.60707542777,13.63221227384929,0.000972461390886381
13.687485437337251,-0.0074397417479985855,+,NA,NA,+,-0.013842077619987264,-2.0734029575812963e-4,9,-25227.44075080636,50472.898044209905,13.923181055986788,0.000840793410831742
15.01635514387627,-0.007770446496157533,+,-0.024995903455555538,NA,+,-0.013831322330173994,-5.081580184624377e-4,10,-25227.076121777936,50474.17246414411,15.197600990191859,0.000444582667213434
-2.558393539774249,NA,+,NA,+,+,-0.013781296245654535,NA,15,-25222.0650589488,50474.174255828635,15.199392674716364,0.00044418456961403
-2.617374207669571,NA,+,NA,+,+,-0.013780507185609562,2.8550449311811547e-4,16,-25222.0463771774,50476.14278194355,17.167918789629766,0.000165998228386021
6.927397014219526,NA,+,NA,NA,+,-0.013812944632013022,NA,7,-25237.44305558381,50488.8964024476,29.921539293682144,2.82286395619712e-07
6.036290687671971,NA,+,0.03471866351199155,NA,+,-0.013823872071535154,NA,8,-25237.056603478562,50490.126439818734,31.151576664815366,1.52612717979731e-07
8.044071496537276,NA,+,NA,NA,+,-0.01382450953080639,-8.442318603294418e-4,8,-25237.135561225896,50490.2843553134,31.309492159482033,1.41026202998612e-07
6.944182721769618,NA,+,0.025608578897589235,NA,+,-0.013828173144261982,-5.096332054029041e-4,9,-25236.96873799197,50491.95401858113,32.97915542720875,6.11979734935083e-08
10.604338148455621,-0.004565025682806087,+,-0.1534049008491667,+,+,NA,0.003329562203259609,17,-25251.091865976236,50536.24001816603,77.26515501210815,1.47963439613629e-17
7.983587827253229,-0.004226780154951281,+,-0.08597150692593031,+,+,NA,NA,16,-25254.596671828658,50541.24337124606,82.26850809214375,1.21252332480588e-18
