(Intercept),elevation_change,height,latitude,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
16.293927187763725,-14.876842151946347,8.622281094884961,4.894690064315528,-1.578781820054198,-11.949314949452551,8,-1569.526583161835,3155.341743477979,0,0.606632841494818
16.373165486043863,-15.134149862709782,8.621633465365404,4.486364945153638,NA,-11.860795284891882,7,-1571.4015327476743,3157.027065495349,1.6853220173697991,0.26119381694244
19.02497565166616,-16.23819925287966,8.57837685585505,NA,-1.421336691288163,-12.592010765643293,7,-1572.5408100096495,3159.305620019299,3.9638765413201327,0.0835951466024249
18.88670463603314,-16.369327991486504,8.582354696304698,NA,NA,-12.45468195460696,6,-1574.3197187404035,3160.8071021514656,5.465358673486662,0.0394582991817299
11.500720020632503,NA,8.578252502949905,6.987105239744749,-1.6917668308815317,-11.958604537254997,7,-1575.170594161353,3164.565188322706,9.223444844727055,0.00602671033250242
11.49686767082791,NA,8.576591925593245,6.587482558942084,NA,-11.863166409281732,6,-1577.1195016500326,3166.406667970724,11.064924492744922,0.00239998260088912
14.858029652731378,NA,8.51694180776247,NA,-1.5030468714155072,-12.79711207949304,6,-1578.7313469128435,3169.6303584963457,14.288615018366727,0.000478842390129194
14.677984332906275,NA,8.519718957608541,NA,NA,-12.657574325305916,5,-1580.5591444858387,3171.237810884028,15.896067406049042,0.000214357527457729
7.239100153220592,-13.026271372564183,8.459815600425419,13.149575216553652,-1.0940201801759766,NA,7,-1590.1639281540033,3194.551856308007,39.21011283002781,1.85591507631418e-09
7.341676419621413,-13.216274610068176,8.461165159323077,12.822493203951721,NA,NA,6,-1591.7958463409277,3195.759357352514,40.417613874535164,1.01473485804429e-09
3.033425953730347,NA,8.440315563275787,14.991129786421793,-1.2131280437379648,NA,6,-1595.2758476571105,3202.7193599848797,47.37761650690072,3.12613127154023e-11
3.079696842153374,NA,8.441333109083393,14.657071683900032,NA,NA,5,-1596.958677142098,3204.0368761965465,48.69513271856749,1.61775295042914e-11
13.869030517984886,-16.76399058905595,8.310839514272066,NA,-0.52962403186892,NA,6,-1597.0620753935489,3206.2918154577565,50.950071979777476,5.23912018771709e-12
13.838301732274024,-16.811043356199853,8.313245217818704,NA,NA,NA,5,-1598.519280607231,3207.1580831268125,51.81633964883349,3.39743164148279e-12
17.879127839189525,-14.686276657206175,NA,3.7776460199168453,-1.5847796650684378,-11.671831361257603,7,-1598.4168532531846,3211.0577065063694,55.71596302839043,4.83457463981409e-13
17.95848318301816,-14.944139368617767,NA,3.3679072242557475,NA,-11.583245525772256,6,-1600.2974341278045,3212.762532926268,57.420789448288815,2.06138881950391e-13
19.971596190088892,-15.73991303335923,NA,NA,-1.468975851061089,-12.139602744177415,6,-1601.2099153548618,3214.5874953803823,59.2457519024033,8.27702666771044e-14
9.478439771052791,NA,8.289460082302693,NA,-0.6399556160174075,NA,5,-1603.001378226035,3216.1222783644207,60.78053488644173,3.84238133526345e-14
19.830169736414252,-15.874832192816614,NA,NA,NA,-12.000252703611674,5,-1603.0255783857936,3216.1706786839377,60.828935205958715,3.75051121250458e-14
9.426420986597913,NA,8.291895305709055,NA,NA,NA,4,-1604.4845414429058,3217.0486057486346,61.70686227065562,2.41797066859176e-14
13.13538125389697,NA,NA,5.854559911663007,-1.6972554578965382,-11.67787698855315,6,-1603.6868421610418,3219.5413489927423,64.19960551476333,6.95278356691195e-15
13.131955569218436,NA,NA,5.4532921209854495,NA,-11.583499947492472,5,-1605.6339504908808,3221.387422894112,66.04567941613323,2.76241457125324e-15
15.93679880007302,NA,NA,NA,-1.5427449717209147,-12.369876068165041,5,-1606.8985993610104,3223.9167206343714,68.57497715639238,7.79935754905032e-16
15.753209240582532,NA,NA,NA,NA,-12.228584496353237,4,-1608.7551560431275,3225.589834949078,70.24809147109909,3.37867698206552e-16
9.006717022773678,-12.888257139277481,NA,11.864387647406264,-1.1299203739251382,NA,6,-1616.234478240204,3244.6366211510667,89.29487767308774,2.47052697583765e-20
9.112610109690602,-13.083990397175612,NA,11.526749089525158,NA,NA,5,-1617.9076672109363,3245.9348563342232,90.59311285624426,1.29086674338048e-20
4.838826716236005,NA,NA,13.694856743575096,-1.2509592086543413,NA,5,-1621.1318260156318,3252.383173943614,97.04143046563513,5.13626041080084e-22
4.886516094337014,NA,NA,13.350663295500368,NA,NA,4,-1622.8533686032615,3253.786260069346,98.44451659136712,2.54665874849012e-22
14.968975707794034,-16.268494998751233,NA,NA,-0.5959467163768958,NA,5,-1622.1075954172798,3254.33471274691,98.99296926893112,1.9358681195982e-22
14.934760313296895,-16.321321117587395,NA,NA,NA,NA,4,-1623.6204689527906,3255.3204607684042,99.97871729042527,1.18256032602042e-22
10.703309833172563,NA,NA,NA,-0.6985871698042659,NA,4,-1627.8103581274413,3263.7002391177057,108.3584956397267,1.79133807241399e-24
10.646918399717434,NA,NA,NA,NA,NA,3,-1629.3475265046443,3264.742672056908,109.40092857892887,1.06369255540844e-24
