(Intercept),elevation_change,height,latitude,n_seasons,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
15.659390047804981,-15.131739693060362,8.62568438606561,4.381345705905575,1.264081583644816,-1.5664110630143853,-11.90448292294792,9,-1567.0138728283641,3152.389191439861,0,0.486548163276019
15.701772936620413,-15.400286603601351,8.625604545794733,3.9507241072878596,1.332062363056004,NA,-11.811546325394065,8,-1568.8810938533622,3154.0507648610333,1.6615734211723066,0.211992137279374
16.293927187763725,-14.876842151946347,8.622281094884961,4.894690064315528,NA,-1.578781820054198,-11.949314949452551,8,-1569.526583161835,3155.341743477979,2.9525520381180286,0.11116992395541
16.84246812094558,-16.507000191584023,8.608078628618694,NA,2.96275712988901,-1.4383299131721294,-12.267626141122006,8,-1569.9181769231502,3156.124931000609,3.735739560748243,0.0751484969919166
16.373165486043863,-15.134149862709782,8.621633465365404,4.486364945153638,NA,NA,-11.860795284891882,7,-1571.4015327476743,3157.027065495349,4.637874055487828,0.0478656854376098
16.75582103085324,-16.63307687868116,8.61119713429384,NA,2.89121715940423,NA,-12.137836632261356,7,-1571.7071478341227,3157.6382956682455,5.249104228384567,0.0352612201970628
19.02497565166616,-16.23819925287966,8.57837685585505,NA,NA,-1.421336691288163,-12.592010765643293,7,-1572.5408100096495,3159.305620019299,6.916428579438161,0.01531942462583
18.88670463603314,-16.369327991486504,8.582354696304698,NA,NA,NA,-12.45468195460696,6,-1574.3197187404035,3160.8071021514656,8.41791071160469,0.00723102314842314
12.260005105301007,NA,8.563841625257368,7.388471436710607,-1.231741459581358,-1.6826344925150725,-12.083578122874771,8,-1572.5993069089084,3161.4871909721255,9.097999532264566,0.00514659911301704
12.246673274663213,NA,8.562393334642854,6.988001571562132,-1.2186140980242455,NA,-11.985370027682677,7,-1574.5421223222174,3163.308244644435,10.919053204574084,0.0020705396918137
11.500720020632503,NA,8.578252502949905,6.987105239744749,NA,-1.6917668308815317,-11.958604537254997,7,-1575.170594161353,3164.565188322706,12.175996882845084,0.00110443893494893
11.49686767082791,NA,8.576591925593245,6.587482558942084,NA,NA,-11.863166409281732,6,-1577.1195016500326,3166.406667970724,14.01747653086295,0.000439814439616735
