(Intercept),elevation_change,foliage_cover,height,latitude,snowdepth,veg_structure,foliage_cover:veg_structure,df,logLik,AICc,delta,weight
4.26584929220407,NA,0.09067540407431407,NA,NA,-0.15104455680405973,-0.029816947709153573,-0.13986865559447997,7,-22336.94191301265,44687.89837525887,0,0.287028113743463
4.297201737626924,NA,0.08885618282670855,-6.033149435556945,NA,-0.15113587990012653,-0.027623133037099006,-0.13747394042527755,8,-22336.384962157168,44688.7886329021,0.890257643230143,0.183910889966635
4.284330151708243,NA,0.08781871878694031,NA,-0.0259336951760993,-0.1510219139383377,-0.044361651775177514,-0.13585588588319086,8,-22336.793167807777,44689.605044203316,1.7066689444473013,0.122271709576012
4.262618942002531,0.015443394620552824,0.09243147712155893,NA,NA,-0.15098152793698982,-0.031956398425404306,-0.14244580562512965,8,-22336.918141080274,44689.85499074831,1.9566154894419014,0.10790728902837
4.298449644610174,-0.003978854325541001,0.08834476293987775,-6.11193855639166,NA,-0.1511548338940653,-0.02704801124754101,-0.13672737814175207,9,-22336.383358993236,44690.790106759865,2.891731500996684,0.0676071953692507
4.296483073209421,NA,0.08904492968750878,-6.171088496736031,0.0020116151509407387,-0.15114050964118034,-0.026443401260191287,-0.13774256859547462,9,-22336.384303753417,44690.791996280226,2.8936210213578306,0.067543352945784
4.287527717476526,-0.007051351091014395,0.08671469302904658,NA,-0.02837518475598977,-0.15106569487416038,-0.044744080687700444,-0.13422581272133666,9,-22336.789472533655,44691.6023338407,3.7039585818347405,0.0450422472596442
4.297810297265309,-0.0032649208374552355,0.08860452945173718,-6.1122409281737315,6.672779670332359e-4,-0.15196309469053396,-0.02681398458419438,-0.13711843574275967,10,-22336.384794425834,44692.79817884517,4.899803586304188,0.0247711179350346
4.264301365537749,NA,NA,NA,NA,-0.15399638031152885,NA,NA,4,-22343.543215632788,44695.091625396206,7.1932501373376,0.00786918972415072
4.283460969523192,NA,NA,NA,NA,-0.15452194410375594,-0.04933677793830271,NA,5,-22342.650175318453,44695.3081428447,7.4097675858283765,0.0070617745692762
4.294441427392385,NA,NA,-5.7052137952856965,NA,-0.15397045979486296,NA,NA,5,-22342.989959991366,44695.98771219052,8.089336931654543,0.00502744399277786
4.266771421490459,NA,-0.004129029513080591,NA,NA,-0.15517175713186995,NA,NA,5,-22343.02216703253,44696.05212627285,8.1537510139824,0.00486810459565288
4.278889690341076,-0.05889483354667504,NA,NA,NA,-0.1539989479283991,NA,NA,5,-22343.08708256116,44696.18195733011,8.283582071242563,0.00456212777781159
4.310826556666001,NA,NA,-5.325327958300967,NA,-0.1545109100818441,-0.04735821985324669,NA,6,-22342.107588782856,44696.22608807357,8.327712814701954,0.00446256521455759
4.3210830429332425,-0.07644831945511157,NA,-7.163701478391269,NA,-0.15396409742316503,NA,NA,6,-22342.18289364736,44696.37669780258,8.478322543713148,0.00413885382813915
4.310902293295172,NA,NA,NA,-0.03968184259218918,-0.15417937809374094,-0.07117720665770436,NA,6,-22342.19635914333,44696.40362879452,8.505253535651718,0.00408349565766706
4.284037989776633,NA,-0.0035186975963463043,NA,NA,-0.15548199935925947,-0.04540146698013618,NA,6,-22342.276548623322,44696.5640077545,8.665632495634782,0.00376882740694641
4.3464519847602485,-0.08629016032584566,NA,NA,-0.06771318869778395,-0.1537359992783302,-0.0731961854708989,NA,7,-22341.312689255825,44696.639927745215,8.741552486346336,0.00362844406836338
4.291093779595682,-0.04072949820503549,NA,NA,NA,-0.1544707692426069,-0.043011538130300356,NA,6,-22342.423381002478,44696.857672512815,8.9592972539467155,0.00325415142023309
4.2979302922770986,NA,-0.004292076208805133,-5.879552633902731,NA,-0.15519811738978523,NA,NA,6,-22342.426807534077,44696.86452557601,8.966150317144638,0.00324302004945194
4.264901051200489,NA,NA,NA,-0.0012550300113870452,-0.1539793894408092,NA,NA,5,-22343.542661055664,44697.09311431912,9.194739060250868,0.00289275876897031
4.2811489038448975,-0.05811931099055,-0.0040971052394405,NA,NA,-0.15517002194490725,NA,NA,6,-22342.57316175977,44697.1572340274,9.258858768531354,0.00280148822242781
4.324442529476682,-0.07604300978055328,-0.004307185061562508,-7.330848177309875,NA,-0.15520582732970536,NA,NA,7,-22341.613876131694,44697.24230149695,9.34392623808526,0.00268482902800789
4.32804540603912,-0.058943408959398085,NA,-6.526919556642908,NA,-0.1544240322738844,-0.03775400032386837,NA,7,-22341.617720234215,44697.249989701995,9.351614443126891,0.00267452808160524
4.312366930984269,NA,-0.0036718989951824233,-5.5078100643863435,NA,-0.1555158191840466,-0.04318522799283333,NA,7,-22341.700634212637,44697.41581765884,9.517442399970605,0.00246171673982899
4.3132867076465615,NA,-0.003776150983469561,NA,-0.042233998726430085,-0.15519331142431192,-0.06836031855792513,NA,7,-22341.767183404118,44697.5489160418,9.650540782931785,0.00230322376102708
4.350720715161769,-0.09030085102791233,-0.004136186575445124,NA,-0.07181523407637401,-0.15482533415989075,-0.0702102075256957,NA,8,-22340.79924650296,44697.61720159368,9.718826334814366,0.00222591262675363
4.291708683213305,NA,NA,-6.930776872435803,0.019269902117482585,-0.15423955156108993,NA,NA,6,-22342.87488863992,44697.7606877877,9.862312528828625,0.00207181265707972
4.2974524105919825,-0.08202536654644785,NA,NA,-0.026858825469058212,-0.15361720971648343,NA,NA,6,-22342.88715876579,44697.785228039436,9.886852780568006,0.00204654658096183
4.318561467815927,NA,NA,-3.778557335435041,-0.022679218027655188,-0.1543139489505599,-0.060415456920344064,NA,7,-22341.999658683224,44698.01386660001,10.115491341144661,0.00182546454104839
4.2695808621904545,NA,-0.004202503399475956,NA,-0.005787527549117084,-0.15511662468705723,NA,NA,6,-22343.010394612556,44698.03169973297,10.133324474103574,0.00180926001683276
4.2918807149104925,-0.0418103716907527,-0.0035661001604637378,NA,NA,-0.155443843653786,-0.038855060080041456,NA,7,-22342.03948611327,44698.093521460105,10.19514620123664,0.00175418974691156
4.35322312910772,-0.08521074588654576,NA,-3.559901738523919,-0.05134383258075106,-0.15387243038858664,-0.06303124878313436,NA,8,-22341.116362380184,44698.25143334813,10.35305808926205,0.00162101277494361
4.323589924496571,-0.08108985188816334,NA,-6.853290623846982,-0.0062735978774288385,-0.15386730301387108,NA,NA,7,-22342.172556490124,44698.359662213814,10.461286954945535,0.00153562381217969
4.330157366338698,-0.06071678385389642,-0.0037961183302047835,-6.751863572027009,NA,-0.15546507956122174,-0.03315207887154493,NA,8,-22341.182572451948,44698.38385349166,10.485478232789319,0.00151716134379789
4.304334872761881,-0.08661981237970864,-0.004542477961922409,NA,-0.03319404818979253,-0.15481896018240449,NA,NA,7,-22342.26819138226,44698.550931998085,10.65255673921638,0.00139556841558165
4.295747181726954,NA,-0.0041205146342007705,-6.788549910343145,0.01440450757565682,-0.15535238616606728,NA,NA,7,-22342.36253120199,44698.739611637546,10.841236378677422,0.00126993025154331
4.320991206850549,NA,-0.0037832710761427227,-3.7978787214639733,-0.025150757568683655,-0.15532822844554037,-0.0575373390702087,NA,8,-22341.56867406531,44699.156056718384,11.25768145951588,0.00103121677348675
4.329771984918683,-0.08564324952036376,-0.004481000416084008,-6.694446812059264,-0.012997776315856899,-0.15505282683375282,NA,NA,8,-22341.569461047286,44699.15763068233,11.25925542346522,0.00103040554372751
4.3575258111832635,-0.08922959048952196,-0.0041488610849027534,-3.5709166912186108,-0.05540831046987322,-0.15496649352642355,-0.060005363526935085,NA,9,-22340.599640519136,44699.222669811665,11.324294552796346,0.000997436184062598
4.252692232670292,NA,0.12440640977882314,NA,NA,NA,-0.01971754051172559,-0.18535542000810024,6,-22386.77040882076,44785.55172814938,97.6533528905129,1.7896507514367e-22
4.285322752849546,NA,0.12230381040794039,-6.27034410164998,NA,NA,-0.017521483683756053,-0.1825141052439971,7,-22386.280253511828,44786.57505625722,98.67668099835282,1.07289052988213e-22
4.273672594756345,NA,0.12116024291610783,NA,-0.029432103138435597,NA,-0.03625835626179247,-0.18077084562640966,7,-22386.613491567598,44787.24153236876,99.34315710989176,7.68832906515453e-23
4.246375909812977,0.03070459288268737,0.12736497808800654,NA,NA,NA,-0.024056439599862582,-0.18969737250958774,7,-22386.692769888912,44787.40008901139,99.50171375252103,7.10234599908975e-23
4.2816995999746466,0.011670416437628575,0.12359054261871963,-6.038550211868723,NA,NA,-0.01924008462855461,-0.18439231995008115,8,-22386.268966445467,44788.556641478695,100.65826621982706,3.98345255036631e-23
4.285886921181671,NA,0.12215662951016018,-6.1621456234733,-0.001579945054050639,NA,-0.01844724966349414,-0.1823037331069812,8,-22386.279923487044,44788.57855556185,100.68018030298117,3.94004394439246e-23
4.268797968981268,0.010658507840562045,0.12266318843150997,NA,-0.025684985207160477,NA,-0.035651790426154316,-0.1829524930222476,8,-22386.60647475096,44789.23165808968,101.3332828308121,2.84237682602603e-23
4.279679607245948,0.013920503607172861,0.1241698438720057,-6.247706092369565,0.0037048001555827527,NA,-0.017400986745839987,-0.1852269128359817,9,-22386.267579406795,44790.55854758698,102.66017232811282,1.46403432906768e-23
4.260742870289009,NA,NA,NA,NA,NA,NA,NA,3,-22395.975189545086,44797.95349516392,110.05511990505329,3.62876460662657e-25
4.2765230186035215,NA,NA,NA,NA,NA,-0.04065994166994956,NA,4,-22395.406322769977,44798.817839670584,110.91946441171604,2.3554222441307e-25
4.291723448377271,NA,NA,-5.86447254268995,NA,NA,NA,NA,4,-22395.41514203127,44798.83547819317,110.93710293430195,2.33474049283974e-25
4.3540317025402135,-0.10216236399915182,NA,NA,-0.08431241808929561,NA,-0.07130243097096514,NA,6,-22393.502751923104,44799.01641435407,111.11803909519949,2.13279359325623e-25
4.275523400400351,-0.05967397635927299,NA,NA,NA,NA,NA,NA,4,-22395.527042608126,44799.05927934688,111.16090408801392,2.08756887272017e-25
4.318794667734949,-0.0776720654219867,NA,-7.346735447528524,NA,NA,NA,NA,5,-22394.617098673712,44799.241989555216,111.34361429634737,1.90531064962187e-25
4.311915216499262,NA,NA,NA,-0.05113867926676867,NA,-0.06885304207402634,NA,5,-22394.70324134664,44799.41427490107,111.5158996422033,1.74805264319436e-25
4.305078684141449,NA,NA,-5.555938387739982,NA,NA,-0.03860905379348779,NA,5,-22394.864857908356,44799.737508024504,111.83913276563544,1.48718613026288e-25
4.267413450884115,NA,NA,NA,-0.013952316995629627,NA,NA,NA,4,-22395.90923025854,44799.82365464771,111.9252793888445,1.42448809799231e-25
4.2613353719885065,NA,-0.0010021529419931927,NA,NA,NA,NA,NA,4,-22395.94475416397,44799.89470245857,111.99632719970396,1.37477298308067e-25
4.306293561915868,-0.09799417150471418,NA,NA,-0.04450298367854135,NA,NA,NA,5,-22394.98926297411,44799.986318156014,112.0879428971457,1.31321819964314e-25
