(Intercept),elevation_change,foliage_cover,height,latitude,snowdepth,veg_structure,foliage_cover:veg_structure,df,logLik,AICc,delta,weight
4.353163501585761,-0.09848900604615482,-0.05907964725308075,-0.5570721908950492,NA,-0.0810092879249532,-0.02099854833954385,0.06966844239023309,9,-23579.82928115347,47177.67853567578,0,0.322156327062371
4.330717386481776,-0.08389307863865789,-0.011479668931036031,-0.4696881819281381,NA,-0.08084907175462144,NA,NA,7,-23582.498626669934,47179.00967845636,1.3311427805747371,0.165581831905566
4.357921635612257,-0.1019633046367904,-0.06626570974728346,-0.4704253846645678,-0.019831913834634198,-0.08104952061407664,-0.027994076051925686,0.07955181793053781,10,-23579.52399183525,47179.07239827487,1.3938625990849687,0.160469776425478
4.34058539895493,-0.07623322459947192,-0.010772186601573648,-0.5337974844985724,NA,-0.08096112618598081,-0.017491274138857385,NA,8,-23581.98267342129,47179.981323764805,2.302788089022215,0.101864436052444
4.331232258963199,-0.08175851185977544,-0.01112491374440906,-0.5464828795678689,0.013337949042698916,-0.0808545926981081,NA,NA,8,-23582.347390621253,47180.71075816473,3.0322224889459903,0.0707339510870065
4.340204161643243,-0.07619479556052161,-0.010736022208245478,-0.5454277454696543,0.002560700703204372,-0.08095766488330462,-0.0166440336082384,NA,9,-23581.97808661926,47181.97614660736,4.297610931578674,0.0375709614334658
4.306501732287442,NA,-0.011025028068229841,-0.4522684666635304,NA,-0.0814169594536388,NA,NA,6,-23585.540913403118,47183.0911446099,5.412608934115269,0.0215146145010505
4.341504916869105,-0.1109533344307833,-0.07715835482621786,NA,-0.062237669177890295,-0.08153638384202405,-0.030505604150541286,0.09474058190756622,9,-23582.55449759801,47183.12896856486,5.450432889076183,0.021111553945427
4.325952418504725,NA,-0.010225972584052098,-0.5580011712242015,NA,-0.08152771931641406,-0.02778149100899006,NA,7,-23584.55954156441,47183.13150824531,5.452972569524718,0.0210847626589569
4.330087894643605,NA,-0.03415484650612474,-0.5731344813556737,NA,-0.08170550722517428,-0.030840122326787244,0.03442912696612757,8,-23584.1436709794,47184.30331888102,6.62478320523951,0.0117358154181629
4.308535535060749,NA,-0.010622385363058883,-0.5803615274670311,0.02196359780046203,-0.08141878658004618,NA,NA,7,-23585.25144104488,47184.515307206246,6.836771530463011,0.0105555432689896
4.3068987086989114,-0.08681917872043035,-0.011086919509002598,NA,-0.031643662077360565,-0.08122534566666928,NA,NA,7,-23585.40632915082,47184.82508341813,7.146547742348048,0.00904093903290405
4.294182626811551,-0.08033623707129728,-0.010086685494020267,NA,NA,-0.08140751000167373,NA,NA,6,-23586.464995052876,47184.939307909415,7.260772233632451,0.00853905886604509
4.325426825665105,NA,-0.01018920644640375,-0.5744852463977503,0.0036288945595795326,-0.08152336640975891,-0.026557613678311033,NA,8,-23584.55285345096,47185.121683824145,7.443148148362525,0.00779484674255928
4.3314063885326215,NA,-0.03616075942996537,-0.5436265554119644,-0.0067708688121080485,-0.08172762828849867,-0.03337048686960521,0.037213683061365486,9,-23584.122405345217,47186.264784059276,8.586248383493512,0.00440135621343846
4.3163770809042425,-0.08104960000049807,-0.010811702487047884,NA,-0.04287910986017254,-0.08130829440302738,-0.017245890584309965,NA,8,-23585.13529537283,47186.286567667885,8.608031992102042,0.00435367762715119
4.272503195839276,NA,-0.01008688225011237,NA,NA,-0.08166576248694866,NA,NA,5,-23588.287297986775,47186.581250809395,8.902715133612219,0.00375722009942192
4.292522999431249,-0.08302107582336682,-0.010276631013868266,NA,NA,-0.08136160928641126,0.00572810216493925,NA,7,-23586.425451196068,47186.863327508625,9.184791832842166,0.0032629803616036
4.301671572299059,-0.10270489866985713,-0.05236001666531705,NA,NA,-0.08157746651621822,0.003943469321063283,0.06029322092445584,8,-23585.46607506361,47186.94812704944,9.26959137366066,0.00312752272235654
4.281258608106626,NA,-0.010699239391628312,NA,-0.025629864804332284,-0.08158986364342144,NA,NA,6,-23587.738265779943,47187.48584936355,9.80731368776469,0.00239020723555674
4.299331558184104,NA,-0.01037498264294954,NA,-0.04444544442287793,-0.08167945071599779,-0.027751209115182147,NA,7,-23587.180768506845,47188.37396213018,10.695426454396511,0.00153314884376827
