model,param,estimate,SE,low_95,high_95
macro,Latitude,6.684,3.285,0.2553829,13.107267
meso,_ Elevation,-15.163,4.033,-22.993689,-7.3222886
meso,Vegetation Structure,-9.007,1.409,-11.770663,-6.1510303
meso,Snow Depth,-2.639,1.295,-5.199847,-0.1216889
micro,Microhabitat Height/Depth,6.5715,0.9372,4.731636,8.407225
global,_ Elevation,-15.7219,3.8188,-23.224195,-8.2196707
global,Microhabitat Height/Depth,6.8399,0.8908,5.089751,8.5899553
global,Latitude,-0.6927,2.4948,-6.605741,4.7063666
global,Snow Depth,-2.5654,1.2347,-4.991179,-0.1396869
global,Vegetation Structure,-9.5184,1.4044,-12.277517,-6.7593015
soil,_ Elevation,-18.165,4.834,-27.710498,-8.6196226
soil,Latitude,-2.764,3.317,-10.019063,3.303244
soil,Snow Depth,-2.734,1.281,-5.263673,-0.2043855
soil,Vegetation Structure,-5.786,1.556,-8.858931,-2.7135145
surface,_ Elevation,-19.626,3.693,-2.69E+01,-12.3567501
surface,Latitude,5.963,3.089,-0.11797,12.0433762
surface,Snow Depth,-1.995,1.535,-5.089739,0.3434508
surface,Vegetation Structure,-9.923,1.592,-13.056463,-6.7897713
canopy,_ Elevation,-15.62,11.8886,-39.34811,8.108198
canopy,Latitude,-2.719,9.2948,-22.54318,16.470274
canopy,Snow Depth,-0.7537,7.4393,-16.77084,15.038583
canopy,Vegetation Structure,-16.8306,3.4229,-23.66189,-9.999209
surface_forest,Vegetation Structure,,,,
surface_forest,Latitude,,,,
surface_forest,Snow Depth,,,,
surface_non-forest,Vegetation Structure,,,,
surface_non-forest,Latitude,,,,
surface_non-forest,Snow Depth,,,,
