"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IFFQKDNG","journalArticle","2013","Scheffers, Brett R.; Phillips, Ben L.; Laurance, William F.; Sodhi, Navjot S.; Diesmos, Arvin; Williams, Stephen E.","Increasing arboreality with altitude: a novel biogeographic dimension","Proceedings of the Royal Society of London B: Biological Sciences","","0962-8452, 1471-2954","10.1098/rspb.2013.1581","http://rspb.royalsocietypublishing.org/content/280/1770/20131581","Biodiversity is spatially organized by climatic gradients across elevation and latitude. But do other gradients exist that might drive biogeographic patterns? Here, we show that rainforest's vertical strata provide climatic gradients much steeper than those offered by elevation and latitude, and biodiversity of arboreal species is organized along this gradient. In Philippine and Singaporean rainforests, we demonstrate that rainforest frogs tend to shift up in the rainforest strata as altitude increases. Moreover, a Philippine-wide dataset of frog distributions shows that frog assemblages become increasingly arboreal at higher elevations. Thus, increased arboreality with elevation at broad biogeographic scales mirrors patterns we observed at local scales. Our proposed ‘arboreality hypothesis’ suggests that the ability to exploit arboreal habitats confers the potential for larger geographical distributions because species can shift their location in the rainforest strata to compensate for shifts in temperature associated with elevation and latitude. This novel finding may help explain patterns of species richness and abundance wherever vegetation produces a vertical microclimatic gradient. Our results further suggest that global warming will ‘flatten’ the biodiversity in rainforests by pushing arboreal species towards the cooler and wetter ground. This ‘flattening’ could potentially have serious impacts on forest functioning and species survival.","2013-11-07","2018-03-30 03:21:20","2018-03-30 03:21:20","2018-03-30 03:21:20","20131581","","1770","280","","","Increasing arboreality with altitude","","","","","","","en","© 2013 The Author(s) Published by the Royal Society. All rights reserved.","","","","rspb.royalsocietypublishing.org","","PMID: 24026817","","/Users/David/Zotero/storage/BCES4N44/Scheffers et al. - 2013 - Increasing arboreality with altitude a novel biog.pdf; ; /Users/David/Zotero/storage/KM9VXSG4/20131581.html","http://www.ncbi.nlm.nih.gov/pubmed/24026817","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PB4UARC","journalArticle","2017","Scheffers, Brett R.; Shoo, Luke; Phillips, Ben; Macdonald, Stewart L.; Anderson, Alex; VanDerWal, Jeremy; Storlie, Collin; Gourret, Arnaud; Williams, Stephen E.","Vertical (arboreality) and horizontal (dispersal) movement increase the resilience of vertebrates to climatic instability","Global Ecology and Biogeography","","1466-8238","10.1111/geb.12585","https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12585","","2017-07-01","2018-04-08 00:39:23","2018-04-08 00:39:23","2018-04-08 00:39:23","787-798","","7","26","","","","","","","","","","en","","","","","onlinelibrary.wiley.com","","","","/Users/David/Zotero/storage/TEMEZ69R/Scheffers et al. - 2017 - Vertical (arboreality) and horizontal (dispersal) .pdf; /Users/David/Zotero/storage/8XIWBC5D/geb.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IKFKVZVB","journalArticle","1967","Janzen, Daniel H.","Why Mountain Passes are Higher in the Tropics","The American Naturalist","","0003-0147","10.1086/282487","https://www.journals.uchicago.edu/doi/abs/10.1086/282487","","1967-05-01","2018-04-17 03:33:58","2018-04-17 03:33:58","","233-249","","919","101","","The American Naturalist","","","","","","","","","","","","","journals.uchicago.edu (Atypon)","","","","/Users/David/Zotero/storage/M6LFHVBD/Janzen - 1967 - Why Mountain Passes are Higher in the Tropics.pdf; /Users/David/Zotero/storage/RQN5877K/282487.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDNTDZI7","journalArticle","2018","Basham, Edmund W.; Seidl, Christa M.; Andriamahohatra, Lydou R.; Oliveira, Brunno F.; Scheffers, Brett R.","Distance‐decay differs among vertical strata in a tropical rainforest","Journal of Animal Ecology","","1365-2656","10.1111/1365-2656.12902","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2656.12902","","2018-08-26","2018-09-04 21:49:47","2020-12-27 03:56:04","2018-09-04 21:49:47","114–124","","","88","","","","","","","","","","en","","","","","besjournals.onlinelibrary.wiley.com","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Basham et al_2019_Distance–decay differs among vertical strata in a tropical rainforest.pdf; /Users/David/Zotero/storage/B9Z6N53V/Basham et al. - 2018 - Distance‐decay differs among vertical strata in a .pdf","","biodiversity; Madagascar; amphibian; vertical stratification; biogeography; niche partitioning; diversity; distance-decay; vertical; arboreal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RDFP3FJ","journalArticle","2001","Mora, Carla; Vieira, Gonçalo Teles; Alcoforado, Maria João","Daily minimum air temperatures in the Serra da Estrela, Portugal","Finisterra","","2281-4574","10.18055/Finis1647","https://revistas.rcaap.pt/finisterra/article/view/1647","","2001","2019-05-15 22:32:31","2019-05-15 22:32:31","2019-05-15 22:32:31","","","71","36","","1","","","","","","","","por","Direitos de Autor (c) 2017 Finisterra","","","","revistas.rcaap.pt","","","","/Users/David/Zotero/storage/6VUTTSFL/Mora et al. - 2001 - Daily minimum air temperatures in the Serra da Est.pdf; /Users/David/Zotero/storage/3RJDATND/1647.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGMXVM7K","journalArticle","2012","Connor, Simon E.; Araújo, João; van der Knaap, Willem O.; van Leeuwen, Jacqueline F. N.","A long-term perspective on biomass burning in the Serra da Estrela, Portugal","Quaternary Science Reviews","","0277-3791","10.1016/j.quascirev.2012.08.007","http://www.sciencedirect.com/science/article/pii/S0277379112003083","Fire is currently perceived as a major threat to ecosystems and biodiversity in the mountains of the Mediterranean region. Portugal's highest mountain range, the Serra da Estrela, is one of the country's most important protected areas and also the most fire-prone. We present a ∼14,000-year fire history based on microscopic charred particles in an infilled glacial lake to better understand the antiquity of biomass burning and its effects on Mediterranean vegetation at the Atlantic margin. Results indicate the continuous occurrence of fire in the Serra da Estrela over the period of the record. Two periods of increased fire activity – around 12,000–11,000 calendar years before the present (cal. a BP) and 3500–2500 cal. a BP – were accompanied by major vegetation changes and followed by long periods of vegetation stabilisation. Cross-correlation analyses reveal that post-fire succession consistently began with herbaceous vegetation, followed by forest and shrubland stages. Past successional trends were often markedly different to those observed at present. Holocene climatic changes, including shifts in the North Atlantic Oscillation, played a pivotal role in the vegetation development and fire history of the Serra da Estrela. In the late Holocene, human use of fire became a major agent of vegetation change, accelerating the Holocene decline of forests.","2012-11-08","2019-05-15 22:38:35","2019-05-15 22:38:35","2019-05-15 22:38:35","114-124","","","55","","Quaternary Science Reviews","","","","","","","","","","","","","ScienceDirect","","","","/Users/David/Zotero/storage/HWTTYC39/Connor et al. - 2012 - A long-term perspective on biomass burning in the .pdf; /Users/David/Zotero/storage/7ZQ9WBJQ/S0277379112003083.html","","","Mediterranean; Fire history; Iberian Peninsula; Late Quaternary; Palaeoecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QLTHPTE","document","2019","Templer, Pamela; Sanders-DeMott, Rebecca; Bailey, Amey","Climate Change Across Seasons Experiment (CCASE) Sapling Study at the Hubbard Brook Experimental Forest: Spring Phenology","","","","","https://doi.org/10.6073/pasta/73f68509156bb5ebbe94eb25f57cdcd5","Timing of spring leaf-out of red maple and sugar maple       saplings experiencing combinations of soil warming and winter       freeze-thaw cycles was assessed weekly in 2014 and 2015 from       late April (when growing season warming began) through early       June when leaves were fully expanded. There were seven       treatments for each species of maple. For each species, ten       saplings experienced ambient temperatures (reference), ten       experienced growing season warming with no induced       freeze-thaw cycles in winter (warmed), ten in each of four       groups experienced warming in the growing season coupled with       two, four, six, or eight soil freeze-thaw cycles in winter       (warmed + 2 FTC, warmed + 4 FTC, warmed + 6 FTC, warmed + 8       FTC), and ten experienced snow removal in winter with ambient       temperatures in the growing-season (snow removal).       These data were gathered as part of the Hubbard Brook       Ecosystem Study (HBES). The HBES is a collaborative effort at       the Hubbard Brook Experimental Forest, which is operated and       maintained by the USDA Forest Service, Northern Research       Station.","2019","2019-06-01 22:15:31","2020-08-01 18:29:38","2019-06-01 22:15:31","","","","","","","Climate Change Across Seasons Experiment (CCASE) Sapling     Study at the Hubbard Brook Experimental Forest","","","","","Environmental Data Initiative","","eng","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.6073/pasta/73f68509156bb5ebbe94eb25f57cdcd5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKP268ML","journalArticle","2006","Richardson, Andrew D.; Bailey, Amey Schenck; Denny, Ellen G.; Martin, C. Wayne; O'keefe, John","Phenology of a northern hardwood forest canopy","Global Change Biology","","1365-2486","10.1111/j.1365-2486.2006.01164.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2006.01164.x","While commonplace in other parts of the world, long-term and ongoing observations of the phenology of native tree species are rare in North America. We use 14 years of field survey data from the Hubbard Brook Experimental Forest to fit simple models of canopy phenology for three northern hardwood species, sugar maple (Acer saccharum), American beech (Fagus grandifolia), and yellow birch (Betula alleghaniensis). These models are then run with historical meteorological data to investigate potential climate change effects on phenology. Development and senescence are quantified using an index that ranges from 0 (dormant, no leaves) to 4 (full, green canopy). Sugar maple is the first species to leaf out in the spring, whereas American beech is the last species to drop its leaves in the fall. Across an elevational range from 250 to 825 m ASL, the onset of spring is delayed by 2.7±0.4 days for every 100 m increase in elevation, which is in reasonable agreement with Hopkin's law. More than 90% of the variation in spring canopy development, and just slightly less than 90% of the variation in autumn canopy senescence, is accounted for by a logistic model based on accumulated degree-days. However, degree-day based models fit to Hubbard Brook data appear to overestimate the rate at which spring development occurs at the more southerly Harvard Forest. Autumn senescence at the Harvard Forest can be predicted with reasonable accuracy in sugar maple but not American beech. Retrospective modeling using five decades (1957–2004) of Hubbard Brook daily mean temperature data suggests significant trends (P≤0.05) towards an earlier spring (e.g. sugar maple, rate of change=0.18 days earlier/yr), consistent with other studies documenting measurable climate change effects on the onset of spring in both North America and Europe. Our results also suggest that green canopy duration has increased by about 10 days (e.g. sugar maple, rate of change=0.21 days longer/yr) over the period of study.","2006","2019-06-01 22:25:19","2019-06-01 22:25:19","2019-06-01 22:25:19","1174-1188","","7","12","","","","","","","","","","en","","","","","Wiley Online Library","","","","/Users/David/Zotero/storage/FKNWMNDQ/Richardson et al. - 2006 - Phenology of a northern hardwood forest canopy.pdf; /Users/David/Zotero/storage/QF6JFUC4/j.1365-2486.2006.01164.html","","","climate change; phenology; Hubbard Brook Experimental Forest; bud break; growing season length; Harvard Forest; leaf fall; leaf out; northern hardwood forest; senescence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA7PRTJZ","journalArticle","2012","Graae, Bente J.; Frenne, Pieter De; Kolb, Annette; Brunet, Jörg; Chabrerie, Olivier; Verheyen, Kris; Pepin, Nick; Heinken, Thilo; Zobel, Martin; Shevtsova, Anna; Nijs, Ivan; Milbau, Ann","On the use of weather data in ecological studies along altitudinal and latitudinal gradients","Oikos","","1600-0706","10.1111/j.1600-0706.2011.19694.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0706.2011.19694.x","","2012-01-01","2019-06-05 22:32:47","2019-09-09 00:07:37","2019-06-05 22:32:47","3-19","","1","121","","","","","","","","","","en","","","","","onlinelibrary.wiley.com","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Graae et al_2012_Oikos.pdf; /Users/David/Zotero/storage/IBQFHDRW/j.1600-0706.2011.19694.html","","elevation; climate; methods; weather towers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S5NPVNAA","journalArticle","2016","González del Pliego, Pamela; Scheffers, Brett R.; Basham, Edmund W.; Woodcock, Paul; Wheeler, Charlotte; Gilroy, James J.; Medina Uribe, Claudia A.; Haugaasen, Torbjørn; Freckleton, Rob P.; Edwards, David P.","Thermally buffered microhabitats recovery in tropical secondary forests following land abandonment","Biological Conservation","","0006-3207","10.1016/j.biocon.2016.07.038","http://www.sciencedirect.com/science/article/pii/S0006320716303032","Given the dramatic loss of tropical forests and accelerating climate change, secondary forest regeneration is increasingly recognised as being an important method for reversing losses in biodiversity and carbon stocks. The recolonisation of biodiversity within secondary forests depends in part upon the recovery of forest structure, including the range of microhabitats used by diverse local communities. Here, we investigate the return of critical microhabitats along a successional gradient of secondary forest in the Tropical Andes of Colombia. We measured the abundance of live (bromeliads, tree ferns and moss) and dead (deadwood and leaf litter) microhabitats across three landscapes, each encompassing primary, and young (4–18yr old) and old secondary forests (19–35yr old). Considering the increasing rate of climate warming in the region, we also explored whether these microhabitats provide thermally buffered microclimates. We found that secondary forests have different composition and lower complexity of microhabitats than primary forests, but microhabitats appear to be recovering towards primary forest levels. Furthermore, in all forest types, microhabitats had lower maximum temperatures and higher minimum temperatures, thereby serving as thermal buffers that reduced exposure to extreme temperatures. These benefits exist despite ambient temperatures in secondary forests surpassing those of primary forests by 1–2°C on average. The protection of secondary forest and promotion of further forest regrowth in the Tropical Andes should represent an urgent investment for conservation, and the value of these forests for offering critical microhabitats and buffered microclimates under climate change should not be overlooked.","2016-09-01","2019-06-28 15:27:27","2020-06-29 22:55:25","2019-06-28 15:27:27","385-395","","","201","","Biological Conservation","","","","","","","","","","","","","ScienceDirect","","","","/Users/David/Zotero/storage/YBR995D2/González del Pliego et al. - 2016 - Thermally buffered microhabitats recovery in tropi.pdf; /Users/David/Zotero/storage/AR58LGZT/S0006320716303032.html","","CC; Microclimate; thermal; frag; micro","Carbon enhancement; Choco-Andes; Microclimate buffering; Secondary forest regeneration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
