site_code,elevation,Latitude,Longitude
NH_forest,low,43.94617659,-71.71479424
NH_forest,high,43.91985666,-71.77745584
NH_nonforest,low,43.94127,-71.696217
NH_nonforest,high,43.920799,-71.765606
ID,low,43.167545,-116.713205
ID,high,43.0645,-116.7486
AZ,low,33.65181,-116.37214
AZ,high,33.6094,-116.4505
AZ_cata,low,32.44985,-110.741183
AZ_cata,high,32.41508,-110.72461
CO,low,40.014,-105.337
CO,high,40.053655,-105.62068
PT,low,40.340966,-7.575001
PT,high,40.340966,-7.575001
NC,low,35.6884385,-82.201833
NC,high,35.740808,-82.27784
NM_canopy,low,35.86423,-106.596664
NM_canopy,high,35.888447,-106.532114
NM_soil,low,35.8503,-106.450587
NM_soil,high,35.882783,-106.5374
PH,low,14.09,121.54
PH,high,14.07,121.5
AU,low,-15.73,145.24
AU,high,-15.73,145.24
MD,low,-21.26,47.43
MD,high,-21.27,47.43
OR,low,44.21705833,-122.2607472
OR,high,44.327454,-122.094529
TN,low,35.056714,-83.426877
TN,high,35.03145,-83.45976
CR_basham,low,10.43096,-84.0119
CR_basham,high,10.17616,-84.1095
CO_OldSecondary_1,high,5.495,-75.8895
CO_PrimaryForest_1,high,5.495,-75.8895
CO_PrimaryForest_2,high,5.495,-75.8895
CO_YoungSecondary_1,high,5.495,-75.8895
CO_OldSecondary_1,low,5.230998,-76.083268
CO_PrimaryForest_1,low,5.230998,-76.083268
CO_PrimaryForest_2,low,5.230998,-76.083268
CO_YoungSecondary_1,low,5.230998,-76.083268
CR_northwest,high,10.09832,-84.382329
CR_northwest,low,9.977361,-84.830656
CR_southwest,high,9.540685,-83.672643
CR_southwest,low,8.945169,-83.46682
CA,low,37.3711,-118.358
CA,high,36.7667,-119.7
SE,low,68.269381,19.232613
SE,high,68.269381,19.232613
CH_decid,low,47.401902,8.230333
CH_decid,high,46.12506,9.00769
CH_conif,low,47.27417,7.88686
CH_conif,high,46.66164,10.23047
CH_open,low,47.26882,7.91082
CH_open,high,46.65964,10.24102
AK_nabesna,low,63.3337,-143.0372
AK_nabesna,high,62.3977,-142.9966
AK_ameriflux,low,69.1423,-148.8412
AK_ameriflux,high,68.6282,-149.596
TZ_usambara,low,-5.076799,38.645839
TZ_usambara,high,-5.098068,38.599626
MY_SAFE_primary,low,4.747551,116.9647
MY_SAFE_primary,high,4.750758,116.9668
MY_SAFE_degraded,low,4.698514,117.5349
MY_SAFE_degraded,high,4.693722,117.5812
EC_maquipucuna,low,0.11835,-78.61194444
EC_maquipucuna,high,0.12701667,-78.57805556
CH_cuona,low,27.77,91.68
CH_cuona,high,27.99,91.86
